fact_id,module,entity,metric,value,begrotingsnaam,kostensoort,year_count,query_ref,verified_at
APP-KMIN-001,apparaat,"Salaris, vakantie en eindejaarsuitkering (Defensie)",kostensoort_ministry,17205513000,Defensie,"Salaris, vakantie en eindejaarsuitkering",5,Q-APP-03,2026-03-02T19:28:34Z
APP-KMIN-002,apparaat,"Salaris, vakantie en eindejaarsuitkering (Financiën)",kostensoort_ministry,12886721000,Financiën,"Salaris, vakantie en eindejaarsuitkering",7,Q-APP-03,2026-03-02T19:28:34Z
APP-KMIN-003,apparaat,"Salaris, vakantie en eindejaarsuitkering (Infrastructuur en Waterstaat)",kostensoort_ministry,5501142000,Infrastructuur en Waterstaat,"Salaris, vakantie en eindejaarsuitkering",6,Q-APP-03,2026-03-02T19:28:34Z
APP-KMIN-004,apparaat,Pensioenen en uitkeringen (Defensie),kostensoort_ministry,5205610000,Defensie,Pensioenen en uitkeringen,4,Q-APP-03,2026-03-02T19:28:34Z
APP-KMIN-005,apparaat,"Salaris, vakantie en eindejaarsuitkering (Ministerie van Defensie)",kostensoort_ministry,5084604000,Ministerie van Defensie,"Salaris, vakantie en eindejaarsuitkering",2,Q-APP-03,2026-03-02T19:28:34Z
APP-KMIN-006,apparaat,"Salaris, vakantie en eindejaarsuitkering (Justitie en Veiligheid)",kostensoort_ministry,3304137000,Justitie en Veiligheid,"Salaris, vakantie en eindejaarsuitkering",7,Q-APP-03,2026-03-02T19:28:34Z
APP-KMIN-007,apparaat,"Salaris, vakantie- en eindejaarsuitkering  (Defensie)",kostensoort_ministry,3155099000,Defensie,"Salaris, vakantie- en eindejaarsuitkering ",1,Q-APP-03,2026-03-02T19:28:34Z
APP-KMIN-008,apparaat,"Salaris, vakantie en eindejaarsuitkering (Financiën en Nationale Schuld)",kostensoort_ministry,3101960000,Financiën en Nationale Schuld,"Salaris, vakantie en eindejaarsuitkering",2,Q-APP-03,2026-03-02T19:28:34Z
APP-KMIN-009,apparaat,Sociale lasten enbijdrage zorgverzekeringswet (Financiën),kostensoort_ministry,2857011000,Financiën,Sociale lasten enbijdrage zorgverzekeringswet,5,Q-APP-03,2026-03-02T19:28:34Z
APP-KMIN-010,apparaat,"Salaris, Individueel Keuzebudget (Financiën)",kostensoort_ministry,2568645000,Financiën,"Salaris, Individueel Keuzebudget",1,Q-APP-03,2026-03-02T19:28:34Z
