fact_id,module,entity,metric,value,y2024,y2023,y2022,y2021,y2020,row_count,query_ref,verified_at
APP-MIN-001,apparaat,Defensie,ministry_total,42304633000,8865684000,7759837000,0,5669944000,6817680000,1789,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-002,apparaat,Financiën,ministry_total,30673735000,5149471000,4460821000,4081555000,3505907000,3559821000,1351,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-003,apparaat,Infrastructuur en Waterstaat,ministry_total,14615891000,2690102000,2366038000,2113820000,2016014000,1943259000,1403,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-004,apparaat,Ministerie van Defensie,ministry_total,11426358000,0,0,0,0,0,491,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-005,apparaat,Justitie en Veiligheid,ministry_total,9447691000,1887065000,1630923000,524523000,1402448000,457991000,1779,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-006,apparaat,Financiën en Nationale Schuld,ministry_total,6423960000,0,0,0,0,0,248,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-007,apparaat,Buitenlandse Zaken,ministry_total,6207570000,1108110000,1013747000,943642000,822919000,806522000,580,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-008,apparaat,Binnenlandse Zaken en Koninkrijksrelaties,ministry_total,5818243000,0,0,0,1004597000,921311000,606,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-009,apparaat,Defensie ,ministry_total,5701035000,0,0,0,0,0,262,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-010,apparaat,Infrastructuur en Milieu,ministry_total,3968374000,0,0,0,0,0,574,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-011,apparaat,Financien,ministry_total,3246243000,64123000,0,0,0,0,141,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-012,apparaat,"Onderwijs, Cultuur en Wetenschap",ministry_total,3169220000,432050000,367257000,306653000,281554000,280933000,711,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-013,apparaat,Ministerie van Buitenlandse Zaken,ministry_total,2944521000,0,0,0,0,0,242,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-014,apparaat,"Ministerie van Volksgezondheid, Welzijn en Sport",ministry_total,2379520000,622399000,587198000,0,0,448763000,5786,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-015,apparaat,Binnenlandse zaken en Koninkrijksrelaties,ministry_total,2335724000,891459000,770791000,673474000,0,0,217,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-016,apparaat,"Volksgezondheid, Welzijn en Sport",ministry_total,2315126000,0,0,540341000,492633000,0,617,Q-APP-02,2026-03-02T19:28:34Z
APP-MIN-017,apparaat,Ministerie van Veiligheid en Justitie,ministry_total,2193548000,0,0,0,0,0,406,Q-APP-02,2026-03-02T19:28:34Z
