fact_id,begrotingsnaam,kostensoort,jaar,bedrag
APP-001,Defensie,"Salaris, vakantie en eindejaarsuitkering",2023,4026365000
APP-002,Defensie,"Salaris, vakantie- en eindejaarsuitkering ",2024,3155099000
APP-003,Financiën,"Salaris, Individueel Keuzebudget",2024,2568645000
APP-004,Financiën,"Salaris, vakantie en eindejaarsuitkering",2023,2252982000
APP-005,Financiën,"Salaris, vakantie en eindejaarsuitkering",2022,2039577000
APP-006,Defensie,schoonmaak en nuts,2024,1694987000
APP-007,Defensie,"Uitkeringen, pensioenen en wachtgelden",2024,1437780000
APP-008,Infrastructuur en Waterstaat,"Salaris, vakantie- en eindejaarsuitkering ",2024,1287860000
APP-009,Infrastructuur en Waterstaat,"Salaris, vakantie en eindejaarsuitkering",2023,1103383000
APP-010,Infrastructuur en Waterstaat,"Salaris, vakantie en eindejaarsuitkering",2022,980419000
APP-011,Justitie en Veiligheid,"Salaris, vakantie- en eindejaarsuitkering ",2024,925175000
APP-012,Justitie en Veiligheid,"Salaris, vakantie en eindejaarsuitkering",2023,807181000
APP-013,Financiën,Sociale lasten en bijdrage zorgverzekeringswet,2024,709699000
APP-014,Defensie,Uitkeringen,2023,707620000
APP-015,Financiën,Sociale lasten enbijdrage zorgverzekeringswet,2023,632444000
APP-016,Financiën,Sociale lasten enbijdrage zorgverzekeringswet,2022,617288000
APP-017,Defensie,Relatiegeschenken (niet voor eigen personeel),2024,543037000
APP-018,Defensie,Pensioenen,2023,493965000
APP-019,Defensie,Relatiegeschenken (niet voor eigen personeel),2023,485098000
APP-020,Defensie,"Toelagen, toeslagen en vergoedingen",2023,401879000
APP-021,Buitenlandse Zaken,"Salaris, vakantie- en eindejaarsuitkering",2024,390780000
APP-022,Binnenlandse zaken en Koninkrijksrelaties,Bijdrage SSO's,2024,381218000
APP-023,Economische zaken en Klimaat,"Salaris, vakantie- en eindejaarsuitkering ",2024,378972000
APP-024,Financiën,Bijdrage SSO,2024,364812000
APP-025,Buitenlandse Zaken,"Salaris, vakantie en eindejaarsuitkering",2023,349538000
APP-026,Financiën,Bijdrage SSO,2023,340773000
APP-027,Sociale Zaken en Werkgelegenheid,SALARISSEN,2024,339322000
APP-028,Binnenlandse zaken en Koninkrijksrelaties,Bijdrage SSO's,2023,332505000
APP-029,Financiën,Advisering opdrachtgevers over automatiseringsvraagstukken,2024,330629000
APP-030,Financiën,Advisering opdrachtgevers over automatiseringsvraagstukken,2023,328008000
APP-031,Buitenlandse Zaken,"Salaris, vakantie en eindejaarsuitkering",2022,316121000
APP-032,Defensie,"Toelagen, toeslagen en vergoedingen",2024,313551000
APP-033,Economische zaken en Klimaat,"Salaris, vakantie en eindejaarsuitkering",2023,305685000
APP-034,Ministerie van Sociale Zaken en Werkgelegenheid,Salarissen,2023,292612000
APP-035,Binnenlandse zaken en Koninkrijksrelaties,Bijdrage SSO's,2022,291984000
APP-036,"Ministerie van Volksgezondheid, Welzijn en Sport",SALARISSEN,2024,289149000
APP-037,Financiën,Advisering opdrachtgevers over automatiseringsvraagstukken,2022,283008000
APP-038,Sociale zaken en Werkgelegenheid,Salarissen,2022,254866000
APP-039,"Ministerie van Volksgezondheid, Welzijn en Sport",Salarissen,2023,248213000
APP-040,Binnenlandse zaken en Koninkrijksrelaties,"Salaris, vakantie- en eindejaarsuitkering ",2024,243690000
APP-041,Economische Zaken en Klimaat,"Salaris, vakantie en eindejaarsuitkering",2022,236297000
APP-042,"Onderwijs, Cultuur en Wetenschap","Salaris, vakantie- en eindejaarsuitkering ",2024,233418000
APP-043,"Volksgezondheid, Welzijn en Sport",Salarissen,2022,222396000
APP-044,Infrastructuur en Waterstaat,Uitzendkrachten,2024,208742000
APP-045,Binnenlandse zaken en Koninkrijksrelaties,"Salaris, vakantie en eindejaarsuitkering",2023,205493000
APP-046,Defensie,personele exploitatie overig,2024,203016000
APP-047,Defensie,UITZENDKRACHTEN,2024,199637000
APP-048,Defensie,Opleidingen,2024,195283000
APP-049,"Onderwijs, Cultuur en Wetenschap","Salaris, vakantie en eindejaarsuitkering",2023,195140000
APP-050,Infrastructuur en Waterstaat,Uitzendkrachten,2023,187152000
APP-051,Financiën,Uitzendkrachten,2024,185533000
APP-052,Financiën,Juridisch advies,2024,178858000
APP-053,Infrastructuur en Waterstaat,Pensioenpremies,2024,177899000
APP-054,Binnenlandse zaken en Koninkrijksrelaties,"Salaris, vakantie en eindejaarsuitkering",2022,177774000
APP-055,Defensie,Verbruik van energie en water overig,2023,176351000
APP-056,Defensie,reis en verblijfkosten,2024,173948000
APP-057,Infrastructuur en Waterstaat,Pensioenpremies,2022,173945000
APP-058,Financiën,Huisvesting,2022,167835000
APP-059,Infrastructuur en Waterstaat,Pensioenpremies,2023,167151000
APP-060,Infrastructuur en Waterstaat,"Sociale lasten en 
bijdrage zorgverzekeringswet",2024,163922000
APP-061,"Onderwijs, Cultuur en Wetenschap","Salaris, vakantie en eindejaarsuitkering",2022,162469000
APP-062,Infrastructuur en Waterstaat,Bijdrage aan SSO,2023,157783000
APP-063," Landbouw, Natuur en Voedselkwaliteit","Salaris, vakantie- en eindejaarsuitkering ",2024,156141000
APP-064,Financiën,"Accountancy, financiën en administratieve organisatie",2024,156001000
APP-065,Financiën,Uitzendkrachten,2023,154758000
APP-066,Infrastructuur en Waterstaat,Bijdrage aan SSO,2024,154688000
APP-067,Infrastructuur en Waterstaat,Uitzendkrachten,2022,151704000
APP-068,Financiën,"Accountancy, financiën en administratieve organisatie",2023,148328000
APP-069,Financiën,Juridisch advies,2023,144145000
APP-070,Financiën,"Toelagen, toeslagen en vergoedingen",2024,140092000
APP-071,Infrastructuur en Waterstaat,Bijdrage aan SSO,2022,139776000
APP-072,Defensie,Advisering automatiseringsvraagstukken,2024,139673000
APP-073,Infrastructuur en Waterstaat,Sociale lasten en bijdrage zorgverzekeringswet,2023,138656000
APP-074,Buitenlandse Zaken,Verwerven en afstoten,2022,130420000
APP-075," Landbouw, Natuur en Voedselkwaliteit","Salaris, vakantie en eindejaarsuitkering",2023,129105000
APP-076,Financiën,"Accountancy, financiën en administratieve organisatie",2022,127803000
APP-077,Justitie en Veiligheid,Pensioenpremies,2024,127049000
APP-078,Defensie,Onkostenvergoedingen waaronder Woon-werkverkeer,2023,123249000
APP-079,Buitenlandse Zaken,Bijdrage SSO SSC-ICT (BZK),2023,122882000
APP-080,Infrastructuur en Waterstaat,Sociale lasten en bijdrage zorgverzekeringswet,2022,121718000
APP-081,Buitenlandse Zaken,Bijdrage SSO SSC-ICT (BZK),2024,120707000
APP-082,Justitie en Veiligheid,Pensioenpremies,2023,119373000
APP-083,Justitie en Veiligheid,Sociale lasten en bijdrage zorgverzekeringswet,2024,118058000
APP-084,Buitenlandse Zaken,Verwerven en afstoten ,2024,117851000
APP-085,Justitie en Veiligheid,Advisering opdrachtgevers over automatiseringsvraagstukken,2024,117607000
APP-086,Justitie en Veiligheid,Verwerven en afstoten ,2024,112713000
APP-087,Financiën,Uitzendkrachten,2022,111017000
APP-088,Infrastructuur en Waterstaat,Wagenpark,2024,110836000
APP-089,Buitenlandse Zaken,Verwerven en afstoten,2023,107058000
APP-090,Financiën,Juridisch advies,2022,106039000
APP-091,Defensie,Reis- en verblijfskosten,2023,103880000
APP-092,"Landbouw, Natuur en Voedselkwaliteit","Salaris, vakantie en eindejaarsuitkering",2022,102856000
APP-093,Defensie,consumptieve diensten,2024,102626000
APP-094,Buitenlandse Zaken,Bijdrage SSO SSC-ICT (BZK),2022,102098000
APP-095,Defensie,Representatie voor eigen personeel,2023,101106000
APP-096,Defensie,Afdracht werkkostenregeling,2023,100701000
APP-097,Justitie en Veiligheid,Verwerven en afstoten,2023,98045000
APP-098,Justitie en Veiligheid,Advisering opdrachtgevers over automatiseringsvraagstukken,2023,96676000
APP-099,Defensie,Studie en opleiding,2023,96139000
APP-100,Infrastructuur en Waterstaat,Wagenpark,2023,95873000
APP-101,Defensie,Consumptieve diensten,2023,92085000
APP-102,Infrastructuur en Waterstaat,Wagenpark,2022,90160000
APP-103,Defensie,Advisering opdrachtgevers over automatiseringsvraagstukken,2023,88946000
APP-104,Justitie en Veiligheid,Sociale lasten en bijdrage zorgverzekeringswet,2023,87635000
APP-105,Justitie en Veiligheid,Advisering opdrachtgevers over automatiseringsvraagstukken,2022,85598000
APP-106,Justitie en Veiligheid,Bijdrage SSO,2024,85274000
APP-107,"Ministerie van Volksgezondheid, Welzijn en Sport",BIJDRAGE SSO'S,2024,84204000
APP-108,Defensie,Diensten en middelen overig,2023,82734000
APP-109,Justitie en Veiligheid,Bijdrage SSO,2023,81275000
APP-110,Economische zaken en Klimaat,Bijdrage SSO,2023,79373000
APP-111,Defensie,Onkostenvergoedingen waaronder Woon-werkverkeer,2024,78539000
APP-112,Economische zaken en Klimaat,Bijdrage SSO,2024,78117000
APP-113,Justitie en Veiligheid,Bijdrage SSO,2022,77220000
APP-114,Financiën,"Toelagen, toeslagen en vergoedingen",2023,77175000
APP-115,Defensie,Goederenvervoer weg,2024,76715000
APP-116,"Ministerie van Volksgezondheid, Welzijn en Sport",SOC.LSTN/BIJDR ZVW,2024,76078000
APP-117,Justitie en Veiligheid,Verwerven en afstoten,2022,75945000
APP-118,Defensie,Taxi- en groepsvervoer,2023,75146000
APP-119,"Ministerie van Volksgezondheid, Welzijn en Sport",Bijdrage sso's,2023,70646000
APP-120,Buitenlandse Zaken,"Toelagen, toeslagen en vergoedingen",2024,69652000
APP-121,Infrastructuur en Waterstaat,Aan externe partijen uitbestede ICT - dienstverlening,2024,69547000
APP-122,Financiën,Ontvangsten Personeel Materieel,2024,69166000
APP-123,"Ministerie van Volksgezondheid, Welzijn en Sport",Soc.lstn/bijdr zvw,2023,68581000
APP-124,Financiën,"Toelagen, toeslagen en vergoedingen",2022,68065000
APP-125,Ministerie van Sociale Zaken en Werkgelegenheid,Bijdrage sso's,2023,67897000
APP-126,Sociale Zaken en Werkgelegenheid,BIJDRAGE SSO'S,2024,67125000
APP-127,Buitenlandse Zaken,"Toelagen, toeslagen en vergoedingen",2023,66787000
APP-128,"Volksgezondheid, Welzijn en Sport",Sociale lasten/bijdrage zvw,2022,64178000
APP-129,"Volksgezondheid, Welzijn en Sport",Advies,2022,63347000
APP-130,Infrastructuurfonds,Uitzendkrachten,2022,62452000
APP-131,"Ministerie van Volksgezondheid, Welzijn en Sport",Advies,2023,61038000
APP-132,Defensie,representatie voor eigen personeel,2024,60904000
APP-133,Economische Zaken en Klimaat,Bijdrage SSO,2022,60702000
APP-134,Buitenlandse Zaken,"Toelagen, toeslagen en vergoedingen",2022,60455000
APP-135,Infrastructuur en Waterstaat,"Toelagen, toeslagen en vergoedingen",2024,59811000
APP-136,Justitie en Veiligheid,Aan externe partijen uitbestede ICT-dienstverlening,2022,59810000
APP-137,Sociale zaken en Werkgelegenheid,Bijdrage sso's,2022,59508000
APP-138,"Volksgezondheid, Welzijn en Sport",Bijdrage SSO,2022,59503000
APP-139,Infrastructuur en Waterstaat,Aan externe partijen uitbestede ICT-dienstverlening,2023,59322000
APP-140,Financiën,Ontvangsten Personeel Materieel,2022,58698000
APP-141,"Ministerie van Volksgezondheid, Welzijn en Sport",INHUUR AUTOM. ADVIES,2024,57004000
APP-142,Economische zaken en Klimaat,"Advisering en eventueel explorerend onderzoek dat wordt verricht ten behoeve van nieuw beleid, dan wel bijstelling van bestaand beleid (toekomstgericht). ",2024,56890000
APP-143,Justitie en Veiligheid,Aan externe partij uitbestede ICT-dienstverlening,2024,55965000
