fact_id,module,entity,artikel,detail,metric,value,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,row_count,query_ref,verified_at
APP-TOP-001,apparaat,"Salaris, vakantie en eindejaarsuitkering",Apparaat,Eigen personeel,total_amount,56059259000,6475180000,6572719000,6915633000,7384604000,7168039000,8119754000,4025727000,9397603000,0,248,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-002,apparaat,"Salaris, vakantie- en eindejaarsuitkering ",Apparaat,Eigen personeel,total_amount,6382639000,0,0,0,0,0,0,0,0,6382639000,24,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-003,apparaat,Pensioenen en uitkeringen,Apparaat Kerndepartement,Uitkeringen,total_amount,5205610000,0,0,1410971000,1320846000,1246974000,1226819000,0,0,0,4,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-004,apparaat,"Toelagen, toeslagen en vergoedingen",Apparaat,Eigen personeel,total_amount,4708424000,593154000,602974000,444044000,482094000,546773000,585900000,202985000,630874000,619626000,297,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-005,apparaat,Bijdrage SSO,Apparaat,Bijdrage SSO's,total_amount,4430248000,662638000,496665000,541179000,379405000,434623000,455386000,310043000,561137000,589172000,120,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-006,apparaat,Uitzendkrachten,Apparaat,Externe inhuur,total_amount,3729889000,410648000,360569000,334089000,374105000,393032000,383905000,393415000,507620000,572506000,277,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-007,apparaat,Sociale lasten en bijdrage zorgverzekeringswet,Apparaat,Eigen personeel,total_amount,3627717000,555648000,567027000,576702000,173766000,139084000,229378000,189001000,306453000,890658000,137,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-008,apparaat,Advisering opdrachtgevers over automatiseringsvraagstukken,Apparaat,Externe inhuur,total_amount,3378715000,210164000,183804000,221940000,350304000,359785000,431244000,446218000,619864000,555392000,228,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-009,apparaat,Sociale lasten enbijdrage zorgverzekeringswet,Straffen en Beschermen,Eigen personeel,total_amount,3207572000,52050000,50473000,58722000,591600000,542784000,658018000,620900000,633025000,0,53,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-010,apparaat,Pensioenpremies,Apparaat,Eigen personeel,total_amount,2736353000,192057000,244857000,267788000,298796000,214940000,353333000,317279000,432546000,414757000,151,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-011,apparaat,"Salaris, Individueel Keuzebudget",Apparaat Kerndepartement,Eigen Personeel,total_amount,2568645000,0,0,0,0,0,0,0,0,2568645000,5,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-012,apparaat,Bijdrage SSO's,Centraal Apparaat,Bijdrage SSO,total_amount,2187349000,0,184980000,210219000,229959000,267891000,288537000,292018000,332527000,381218000,15,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-013,apparaat,Salarissen,Apparaatuitgaven,Eigen personeel (R),total_amount,1828290000,0,0,0,0,386077000,424126000,477262000,540825000,0,26,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-014,apparaat,Pensioenen,Kerndepartement,Uitkeringen,total_amount,1759188000,0,1265223000,0,0,0,0,0,493965000,0,2,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-015,apparaat,schoonmaak en nuts,Landmacht,overige materiele exploitatie,total_amount,1694987000,0,0,0,0,0,0,0,0,1694987000,8,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-016,apparaat,"Wachtgelden, inactiviteitswedden en SBK-gelden",Pensioenen en uitkeringen,,total_amount,1449943000,1449943000,0,0,0,0,0,0,0,0,2,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-017,apparaat,Verwerven en afstoten,Apparaat,Overige materiële uitgaven,total_amount,1445091000,86664000,114280000,162136000,248346000,220596000,181139000,213225000,213174000,5531000,170,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-018,apparaat,"Uitkeringen, pensioenen en wachtgelden",Kerndepartement,Uitkeringen,total_amount,1437780000,0,0,0,0,0,0,0,0,1437780000,1,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-019,apparaat,Gebruik en onderhoud van gebouw en terreinen,Apparaat,Overige materiële uitgaven,total_amount,1423747000,69145000,71611000,274306000,320190000,481581000,62407000,72762000,71745000,0,173,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-020,apparaat,Wagenpark,Apparaat,Overige materiële uitgaven,total_amount,1365057000,170464000,175357000,185542000,186301000,149061000,153098000,98742000,105276000,141216000,206,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-021,apparaat,BZK specifiek,Apparaat,Eigen Personeel,total_amount,1359507000,32433000,233766000,286962000,320460000,348048000,23482000,30793000,43333000,40230000,35,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-022,apparaat,Reis- en verblijfskosten,Apparaatuitgaven,Eigen personeel,total_amount,1354970000,169589000,165287000,273613000,225047000,96456000,92963000,92218000,239797000,0,319,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-023,apparaat,Studie en opleiding,Apparaat,Eigen personeel,total_amount,1344079000,164972000,147770000,184768000,179182000,141278000,182669000,83985000,202482000,56973000,244,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-024,apparaat,Bijdrage aan SSO,Agentschap KNMI,Bijdrage SSO,total_amount,1241018000,131167000,139752000,124026000,138185000,127747000,127894000,139776000,157783000,154688000,40,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-025,apparaat,Benodigdheden en hulpmiddelen,Apparaat,Eigen personeel,total_amount,1078230000,172108000,211686000,333415000,213228000,45783000,19990000,17371000,41996000,22653000,317,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-026,apparaat,Relatiegeschenken (niet voor eigen personeel),Apparaat,overige materiele exploitatie,total_amount,1068894000,12438000,7768000,5523000,3586000,4211000,3598000,1047000,486621000,544102000,201,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-027,apparaat,Aan externe partijen uitbestede ICT-dienstverlening,Apparaatsuitgaven kerndepartement,ICT,total_amount,975663000,75056000,101669000,116266000,117080000,134303000,158127000,132278000,140884000,0,149,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-028,apparaat,Onkostenvergoedingen waaronder Woon-werkverkeer,Marine,Eigen personeel,total_amount,732631000,0,0,0,179922000,173594000,177327000,0,123249000,78539000,33,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-029,apparaat,Beheer en onderhoud infrastructuur,Apparaat,ICT,total_amount,726090000,139219000,123189000,140715000,53282000,58128000,82343000,62586000,66628000,0,158,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-030,apparaat,"Accountancy, financiën en administratieve organisatie",Apparaat,Externe inhuur,total_amount,719287000,11591000,352000,17225000,30647000,49289000,106242000,142638000,173871000,187432000,160,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-031,apparaat,Uitkeringen,Kerndepartement,Uitkeringen,total_amount,707620000,0,0,0,0,0,0,0,707620000,0,1,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-032,apparaat,SALARISSEN,Apparaatuitgaven,Eigen Personeel,total_amount,625308000,0,0,0,0,0,0,0,0,625308000,52,Q-APP-01,2026-03-02T19:28:34Z
APP-TOP-033,apparaat,Juridisch advies,Apparaat,Externe inhuur,total_amount,609727000,6726000,6048000,8506000,11499000,21487000,62880000,121141000,161327000,210113000,185,Q-APP-01,2026-03-02T19:28:34Z
