fact_id,ontvanger,staffel,regeling,jaar
COA-001,Belastingdienst Apeldoorn,12,Exploitatie centrumbus,2024
COA-002,Trigion Beveiliging B.V.,12,Beveiligingsdiensten,2022
COA-003,RMA Healthcare,12,Medische dienstverl.,2022
COA-004,Slaapschepen Catering B.V.,11,Voeding,2024
COA-005,Belastingdienst Apeldoorn,11,Belastingen,2022
COA-006,Belastingdienst Apeldoorn,11,Exploitatie centrumbus,2023
COA-007,Gemeente Nijmegen,11,Vergoeding gemeenten LOCC,2023
COA-008,PGGM,11,Pensioenen,2024
COA-009,Le Cocq Holding Didam II B.V.,11,Huisvesting Huur,2022
COA-010,Slaapschepen Catering BV,11,Voeding,2023
COA-011,Trigion Beveiliging B.V.,10,Contract beveiliging,2023
COA-012,Slaapschepen Public B.V.,10,Huisvesting Huur,2022
COA-013,Pillar notarissen B.V.,10,Aankoop permanente gebouwen,2024
COA-014,PGGM,10,Geen inkoop,2022
COA-015,A&O hostel and hotel Amsterdam,10,Voeding,2024
COA-016,SPIE Worksphere B.V.,10,Bouwkundig onderhd,2022
COA-017,Gemeente Nijmegen,10,Vergoeding gemeenten LOCC,2024
COA-018,Umami Catering NV,10,Voeding,2024
COA-019,PGGM,10,Pensioenen,2023
COA-020,Veiligheidsregio Zuid-Limburg,10,Vergoeding gemeenten LOCC,2024
COA-021,Munckhof Taxi BV (voorheen 601,9,Collectief schoolvervoer,2024
COA-022,Duinrell Wassenaar,9,Contracthuren AZC,2023
COA-023,ENECO Zakelijk B.V.,9,Kosten gas,2023
COA-024,Veiligheidsregio Zaanstreek-Wa,9,Vergoeding gemeenten LOCC,2023
COA-025,Veiligheidsregio Zuid-Limburg,9,Vergoeding gemeenten LOCC,2023
COA-026,Veiligheidsregio Fryslän,9,Vergoeding gemeenten LOCC,2023
COA-027,Veiligheidsregio Hollands Midd,9,Vergoeding gemeenten LOCC,2023
COA-028,Umami Catering NV,9,Voeding,2023
COA-029,Hegeman Bouw Vriezenveen B.V.,9,Verbouwingen,2024
COA-030,Gemeente Rotterdam,9,Verbouwingen,2023
COA-031,ENECO Zakelijk B.V.,9,Kosten gas,2024
COA-032,GGDGHOR,9,Kosten PGA,2024
COA-033,Just4 Care & Hospitality BV,9,Medische kosten ongeregistreerden,2024
COA-034,Vattenfall Sales Nederland N.V,9,Kosten electra,2024
COA-035,Gemeente Den Haag,9,Vergoeding gemeenten LOCC,2024
