fact_id,module,entity,gemeente,metric,entity_total,gemeente_total,pct_of_gemeente,years_with_data,query_ref,verified_at
GEM-DOM-001,gemeente,Stichting WIJ Groningen,Groningen,dominance_pct,202265560,846472579,23.9,7,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-002,gemeente,Stichting Centrum voor Jeugd en Gezin (CJG),Barendrecht,dominance_pct,5104350,23606967,21.6,3,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-003,gemeente,Stichting Kijk op Welzijn,Barendrecht,dominance_pct,5021161,23606967,21.3,3,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-004,gemeente,Stichting Sociale Wijkteams Amersfoort,Amersfoort,dominance_pct,114193751,576162231,19.8,7,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-005,gemeente,Sportbedrijf Arnhem BV,Arnhem,dominance_pct,95492994,555216793,17.2,5,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-006,gemeente,Stichting Lokalis,Utrecht,dominance_pct,63185356,381227834,16.6,2,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-007,gemeente,Stichting Buurtteamorganisatie Sociaal Utrecht,Utrecht,dominance_pct,47632876,381227834,12.5,2,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-008,gemeente,Schoor Stichting De,Almere,dominance_pct,104907389,845041603,12.4,7,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-009,gemeente,Stichting Nieuwe Veste,Breda,dominance_pct,83027554,672240712,12.4,7,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-010,gemeente,Kwintes Stichting,Almere,dominance_pct,99185717,845041603,11.7,6,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-011,gemeente,Stichting Veilig Thuis West-Brabant,Breda,dominance_pct,66754075,672240712,9.9,7,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-012,gemeente,Stichting de Bibliotheek Utrecht,Utrecht,dominance_pct,35950207,381227834,9.4,2,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-013,gemeente,GGD Flevoland,Almere,dominance_pct,78601769,845041603,9.3,6,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-014,gemeente,RWA  (=reg.WSW A'foort),Amersfoort,dominance_pct,51679136,576162231,9.0,3,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-015,gemeente,St. Rozet,Arnhem,dominance_pct,49020306,555216793,8.8,5,Q-GEM-03,2026-03-02T19:28:34Z
GEM-DOM-016,gemeente,ContourdeTwern Stichting,Tilburg,dominance_pct,72982342,829513634,8.8,3,Q-GEM-03,2026-03-02T19:28:34Z
