fact_id,ontvanger,jaar,bedrag,descriptor,gemeente
GEM-001,Stichting WIJ Groningen,2023,46370553,Aanstormend talent,Groningen
GEM-002,Stichting HVO-Querido,2023,38026457,"Subsidie aanvraag woonbegeleiding ongedocumenteerden 2023
",Amsterdam
GEM-003,Stichting WIJ Groningen,2022,36121347,Aardbevingen Sociale ondersteuning,Groningen
GEM-004,Stichting WIJKZ,2023,34082538,"Participatie
",Den Haag
GEM-005,Stichting WIJKZ,2024,33869590,"610.T Leefbaarheid en bewonersparticipatie
",Den Haag
GEM-006,Stichting Openbare Bibliotheek Amsterdam,2024,32255722,"Jaarplan en -begroting OBA 2024 Stichting
",Amsterdam
GEM-007,Stichting Lokalis,2023,31974880,,Utrecht
GEM-008,Stichting Lokalis,2024,31210476,,Utrecht
GEM-009,Stichting Openbare Bibliotheek Amsterdam,2023,28508492,"Cultuurplus 2023
",Amsterdam
GEM-010,ContourdeTwern Stichting,2024,27928983,,Tilburg
GEM-011,Stichting Openbare Bibliotheek Amsterdam,2022,25746978,"Leef en Leer 2022
",Amsterdam
GEM-012,Stichting SEZO,2024,25576855,"Aanvraag 2024 Sociale Basis Nieuw-West: 'Koersvast: iedereen in zijn kracht!'
",Amsterdam
GEM-013,Stichting Leger des Heils Welzijns- en Gezondheidszorg,2023,25344104,"begeleiding slachtoffers mensenhandel 2023
",Amsterdam
GEM-014,Stichting Buurtteamorganisatie Sociaal Utrecht,2023,24464133,,Utrecht
GEM-015,Stichting HVO-Querido,2024,24211820,"woonbegeleiding 2024
",Amsterdam
GEM-016,ContourdeTwern Stichting,2023,24157533,,Tilburg
GEM-017,Sportbedrijf Arnhem BV,2022,23189628,,Arnhem
GEM-018,Sportbedrijf Arnhem BV,2024,23184810,,Arnhem
GEM-019,Stichting Buurtteamorganisatie Sociaal Utrecht,2024,23168743,,Utrecht
GEM-020,Stichting SEZO,2023,22590756,"Aanvraag 2023 Buurtteams BT Nieuw-West
",Amsterdam
GEM-021,Stichting Dynamo Welzijn,2022,21047155,"aanvraag A.J. Ernststraat 199
",Amsterdam
GEM-022,ContourdeTwern Stichting,2022,20895826,,Tilburg
GEM-023,Stichting Sociale Wijkteams Amersfoort,2024,20895715,uitvoering taken,Amersfoort
GEM-024,Stichting Combiwel Buurtteams,2024,20479257,"Aanvraag Buurtteam Amsterdam West 2024 
",Amsterdam
GEM-025,Schoor Stichting De,2022,20016210,Aanvullende aanvraag Dagarrangement,Almere
GEM-026,Sportbedrijf Arnhem BV,2023,19642255,,Arnhem
GEM-027,B&A WMO Diensten B.V.,2023,19187874,"Attentie Flevoflats (oost)
",Amsterdam
GEM-028,Stichting HVO-Querido,2022,19118699,"Woonbegeleiding Ongedocumenteerden 2022
",Amsterdam
GEM-029,Stichting SEZO,2022,18999868,"Buurtteams Nieuw-West 2022
",Amsterdam
GEM-030,Schoor Stichting De,2023,18899972,Deelname aan het Sociaal Stedelijk Team,Almere
GEM-031,B&A Buurtteam Amsterdam Zuidoost B.V.,2024,18716096,"Aanvraag subsidie ondersteuning mantelzorg en vrijwillige inzet 
",Amsterdam
GEM-032,Stichting de Bibliotheek Utrecht,2023,18372548,,Utrecht
