fact_id,module,entity,gemeente,metric,value,y2018,y2019,y2020,y2021,y2022,y2023,y2024,years_with_data,row_count,query_ref,verified_at
GEM-TOP-001,gemeente,Stichting HVO-Querido,Amsterdam,total_received,247078089,13529029,24277581,18767535,20896321,19118699,38026457,24211820,9,139,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-002,gemeente,Stichting Openbare Bibliotheek Amsterdam,Amsterdam,total_received,207112295,22811221,23671941,23939771,25191880,25746978,28508492,32255722,9,53,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-003,gemeente,Stichting WIJ Groningen,Groningen,total_received,202265560,26031484,30388929,31766216,31468906,36121347,46370553,0,7,173,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-004,gemeente,Stichting Leger des Heils Welzijns- en Gezondheidszorg,Amsterdam,total_received,129326972,11052451,11010438,11266240,15604147,15631142,25344104,5566630,9,78,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-005,gemeente,Stichting Dynamo Welzijn,Amsterdam,total_received,122374037,10723050,11979128,12405779,16796614,21047155,10317245,12969808,9,281,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-006,gemeente,Stichting SEZO,Amsterdam,total_received,121303545,7607026,8763645,10337858,13878368,18999868,22590756,25576855,9,137,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-007,gemeente,Stichting Sociale Wijkteams Amersfoort,Amersfoort,total_received,114193751,13161475,14075948,15001508,14961569,17763329,18334207,20895715,7,36,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-008,gemeente,Stichting DOCK,Amsterdam,total_received,111496825,10163062,11304600,14263840,12890921,15111632,14328632,16178203,9,347,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-009,gemeente,Stichting Stedelijk Museum Amsterdam,Amsterdam,total_received,108729180,12397349,12716854,13671453,14350222,13550475,14540927,15297055,8,16,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-010,gemeente,Schoor Stichting De,Almere,total_received,104907389,13030331,16992401,17659671,18270604,20016210,18899972,38200,7,88,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-011,gemeente,Kwintes Stichting,Almere,total_received,99185717,21498783,21861145,23099683,15402471,15203150,2120485,0,6,36,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-012,gemeente,Stichting Nationale Opera & Ballet,Amsterdam,total_received,97677291,11527664,11824739,12056162,11929410,12108351,13218159,13669046,8,15,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-013,gemeente,Sportbedrijf Arnhem BV,Arnhem,total_received,95492994,0,0,17197493,17657855,17969698,19642255,23025693,5,193,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-014,gemeente,B&A WMO Diensten B.V.,Amsterdam,total_received,91454858,7865700,8691759,10825778,11683911,15790835,19187874,4049560,9,190,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-015,gemeente,Stichting Anton Constandse,Den Haag,total_received,89844748,30335261,28857313,32000,40000,40000,0,0,6,13,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-016,gemeente,Stichting De Regenboog Groep,Amsterdam,total_received,87089185,7445972,7905189,10649538,8611314,9519073,12058279,16154158,9,251,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-017,gemeente,Stichting Leger des Heils Welzijns- en Gezondheidszorg,Den Haag,total_received,87054754,16179468,18266616,6314210,9437176,8172205,7828639,6802204,8,142,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-018,gemeente,Stichting Combiwel Buurtwerk,Amsterdam,total_received,85084713,10199136,10916529,12207817,12323622,12398934,12296137,14682600,8,235,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-019,gemeente,Stichting Combiwel Buurtteams,Amsterdam,total_received,84593304,7667692,7881376,8354932,11102780,13496197,15547070,20479257,8,28,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-020,gemeente,Stichting Nieuwe Veste,Breda,total_received,83027554,11054286,11219470,11578140,11633064,11839387,12589356,13113851,7,57,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-021,gemeente,Stichting WIJKZ,Den Haag,total_received,81056758,0,0,0,835946,12268684,34082538,33869590,4,462,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-022,gemeente,Stichting ROC Mondriaan,Den Haag,total_received,79995856,12628791,10903953,11017870,11087555,0,11802674,12027851,7,159,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-023,gemeente,Stichting Het Nationale Theater,Den Haag,total_received,78817053,9439946,9402747,9617700,9630257,9874134,10452969,11379296,8,66,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-024,gemeente,GGD Flevoland,Almere,total_received,78601769,9395344,10833476,12943033,12780851,15580002,17069063,0,6,52,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-025,gemeente,Stichting Arkin,Amsterdam,total_received,77738548,8023342,7810523,8139474,8199836,8124221,8714976,10244032,9,94,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-026,gemeente,Stichting Amsterdam Museum,Amsterdam,total_received,73559202,8291331,8498358,9501523,10446222,8877393,9526272,10075691,9,26,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-027,gemeente,ContourdeTwern Stichting,Tilburg,total_received,72982342,0,0,0,0,20895826,24157533,27928983,3,119,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-028,gemeente,Stichting Internationaal Theater Amsterdam,Amsterdam,total_received,70490332,6076647,9294457,9244184,9209266,9376399,10145492,10712668,8,14,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-029,gemeente,Stichting Aanpak Overlast Amsterdam,Amsterdam,total_received,69742749,4993376,6448130,6875870,9511820,7049030,10591688,13521363,9,37,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-030,gemeente,Stichting Impuls,Amsterdam,total_received,68009824,7362160,5685507,5977951,5528937,5184628,5205074,5854703,9,56,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-031,gemeente,Stichting MOOI,Den Haag,total_received,67746736,13916784,13100687,11560328,10708095,0,0,0,5,310,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-032,gemeente,Stichting Veilig Thuis West-Brabant,Breda,total_received,66754075,7214328,8376851,8801287,9244250,9588056,11728516,11800787,7,35,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-033,gemeente,Stichting Leergeld Den Haag,Den Haag,total_received,66683787,8103399,8073100,8091298,8212906,10627612,7655506,7844744,8,16,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-034,gemeente,Stichting Lucas Onderwijs,Den Haag,total_received,66679388,8014288,9210741,10354290,9556086,971168,10376522,8926042,8,636,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-035,gemeente,Groninger Forum,Groningen,total_received,64688927,0,8196049,9584500,10180000,9763692,10778686,0,7,26,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-036,gemeente,Stichting Lokalis,Utrecht,total_received,63185356,0,0,0,0,0,31974880,31210476,2,4,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-037,gemeente,Stichting VR Welzijn,Den Haag,total_received,62835762,16315434,14564226,12716950,0,0,0,0,4,453,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-038,gemeente,Stichting Doras,Amsterdam,total_received,61141658,6887776,7588543,7772438,10620741,12888610,1501437,1883061,9,433,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-039,gemeente,Stichting Woon,Amsterdam,total_received,59858477,6371412,6205675,6930302,7151763,6813484,7789569,8255360,9,56,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-040,gemeente,Stichting Kunstmuseum Den Haag,Den Haag,total_received,58879191,0,194419,11329697,10972146,11313833,11903290,13165806,6,30,Q-GEM-01,2026-03-02T19:28:34Z
GEM-TOP-041,gemeente,Stichting tot Instandhouding van de Diergaarde van het Koninklijk Zoölogisch Genootschap Natura Artis Magistra,Amsterdam,total_received,57705112,3955806,3958634,3994262,19105931,4086320,4217082,9436370,9,18,Q-GEM-01,2026-03-02T19:28:34Z
