fact_id,module,entity,metric,value,recipient_count,y2018,y2019,y2020,y2021,y2022,y2023,y2024,query_ref,verified_at
GEM-TOTAL-001,gemeente,Amsterdam,gemeente_total,4929978877,5774,462840837,506584135,505233115,584548187,575315396,667990993,719694034,Q-GEM-02,2026-03-02T19:28:34Z
GEM-TOTAL-002,gemeente,Den Haag,gemeente_total,2535621355,4291,358995985,348153023,266406185,287974717,288941598,298571021,318632972,Q-GEM-02,2026-03-02T19:28:34Z
GEM-TOTAL-003,gemeente,Groningen,gemeente_total,846472579,2001,82863017,99210913,108746807,114135159,130773343,155342400,0,Q-GEM-02,2026-03-02T19:28:34Z
GEM-TOTAL-004,gemeente,Almere,gemeente_total,845041603,523,162422109,145756433,142980827,138140254,142285790,112073249,1382941,Q-GEM-02,2026-03-02T19:28:34Z
GEM-TOTAL-005,gemeente,Tilburg,gemeente_total,829513634,2646,110213775,93174541,106855683,109821791,115254927,137810092,156382825,Q-GEM-02,2026-03-02T19:28:34Z
GEM-TOTAL-006,gemeente,Breda,gemeente_total,672240712,1278,89886607,89174468,88684820,93117537,100759955,97141583,113475742,Q-GEM-02,2026-03-02T19:28:34Z
GEM-TOTAL-007,gemeente,Amersfoort,gemeente_total,576162231,667,91925435,93462832,87987274,75461774,70579062,76884585,79861269,Q-GEM-02,2026-03-02T19:28:34Z
GEM-TOTAL-008,gemeente,Arnhem,gemeente_total,555216793,2039,0,0,90246477,95176355,103643982,129332296,136817683,Q-GEM-02,2026-03-02T19:28:34Z
GEM-TOTAL-009,gemeente,Haarlem,gemeente_total,435302149,1116,70785902,75956089,73263542,75465549,78944909,60886158,0,Q-GEM-02,2026-03-02T19:28:34Z
GEM-TOTAL-010,gemeente,Utrecht,gemeente_total,381227834,970,0,0,0,0,0,195501820,185726014,Q-GEM-02,2026-03-02T19:28:34Z
GEM-TOTAL-011,gemeente,De Ronde Venen,gemeente_total,35536000,354,0,0,0,6517000,10038000,8760000,10221000,Q-GEM-02,2026-03-02T19:28:34Z
GEM-TOTAL-012,gemeente,Barendrecht,gemeente_total,23606967,110,0,0,0,0,7229362,7939012,8438593,Q-GEM-02,2026-03-02T19:28:34Z
