fact_id,leverancier,staffel,categorie,jaar
INKOOP-001,ANONIEM_I&W_38,13,9560 - I&M specifiek,2024
INKOOP-002,ANONIEM_I&W_45,13,9560 - I&M specifiek,2023
INKOOP-003,ANONIEM_I&W_53,13,9560 - I&M specifiek,2023
INKOOP-004,ANONIEM_I&W_65,13,9560 - I&M specifiek,2023
INKOOP-005,Fivoor B.V.,13,9590 - V&J specifiek,2023
INKOOP-006,Heijmans Infra B.V.,13,9560 - I&M specifiek,2024
INKOOP-007,ANONIEM_I&W_07,13,9560 - I&M specifiek,2024
INKOOP-008,Heijmans Utiliteit B.V.,13,7110 - Gebruik en onderhoud gebouw en terreinen,2024
INKOOP-009,Sassevaart V.O.F.,13,9560 - I&M specifiek,2022
INKOOP-010,Heijmans Utiliteit B.V.,12,7110 - Gebruik en onderhoud gebouw en terreinen,2023
INKOOP-011,Infraspeed B.V.,12,3000 - Uitbesteden overig,2022
INKOOP-012,Koninklijke PostNL B.V.,12,"4210 - Post-, koeriers- en transportdiensten",2022
INKOOP-013,Koninklijke PostNL B.V.,12,"4210 - Post-, koeriers- en transportdiensten",2024
INKOOP-014,N.V. Besix S.A.,12,9560 - I&M specifiek,2024
INKOOP-015,ANONIEM_I&W_07,12,9560 - I&M specifiek,2023
INKOOP-016,ProRail B.V.,12,3000 - Uitbesteden overig,2022
INKOOP-017,Van den Herik-Sliedrecht,12,9560 - I&M specifiek,2024
INKOOP-018,Van Hattum en Blankevoort,12,9560 - I&M specifiek,2024
INKOOP-019,Vattenfall Sales Nederland N.V.,12,7210 - Verbruik van energie en water,2023
INKOOP-020,O.W.M. DSW Zorgverzekeraar UA,12,6510 - Aan een externe partij uitbestede ICT-dienstverlening,2023
INKOOP-021,ANONIEM_I&W_38,12,9560 - I&M specifiek,2022
INKOOP-022,ANONIEM_I&W_49,12,9560 - I&M specifiek,2024
INKOOP-023,ANONIEM_I&W_75,12,9560 - I&M specifiek,2022
INKOOP-024,Boskalis Nederland B.V.,12,9560 - I&M specifiek,2024
INKOOP-025,Fa. Gebr. Van der Lee,12,9560 - I&M specifiek,2022
INKOOP-026,Fa. Gebr. Van der Lee,12,9560 - I&M specifiek,2023
INKOOP-027,Fivoor B.V.,12,9590 - V&J specifiek,2024
INKOOP-028,Heijmans Infra B.V.,12,9560 - I&M specifiek,2023
INKOOP-029,Eneco Zakelijk,11,7210 - Verbruik van energie en water,2023
INKOOP-030,Core Supply Group B.V.,11,3000 - Uitbesteden overig,2022
INKOOP-031,Daiwa House Modular Europe Jan Snel B.V.,11,3000 - Uitbesteden overig,2023
INKOOP-032,Daiwa House Modular Europe Jan Snel B.V.,11,3000 - Uitbesteden overig,2024
INKOOP-033,"De Jong Zuurmond Infrabeheer, Onderhoud & Services B.V.",11,9560 - I&M specifiek,2023
INKOOP-034,"De Jong Zuurmond Infrabeheer, Onderhoud & Services B.V.",11,9560 - I&M specifiek,2024
INKOOP-035,Eneco Zakelijk,11,7210 - Verbruik van energie en water,2024
INKOOP-036,Eurofins Nederlands Moleculair Diagnostisch Laboratorium B.V.,11,3000 - Uitbesteden overig,2022
INKOOP-037,Fa. Gebr. Van der Lee,11,9560 - I&M specifiek,2024
INKOOP-038,ANONIEM_BZK_151,11,7110 - Gebruik en onderhoud gebouw en terreinen,2023
