fact_id,module,entity,metric,contract_count,mode_staffel,categorie,categorie_count,staffel_count,years_with_data,totaal,query_ref,verified_at
INKOOP-TOP-001,inkoop,Protinus IT B.V.,contract_count,908,1,"6220 - Beheer, Onderhoud programmatuur & software",51,10,8,974435454.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-002,inkoop,Xerox (Nederland) B.V.,contract_count,849,1,8510 - Diversen Communicatie,57,9,8,282925424.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-003,inkoop,Meetingselect B.V,contract_count,576,1,1150 - Studie en opleiding,46,9,8,385075288.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-004,inkoop,Manutan B.V.,contract_count,530,1,4610 - Benodigdheden en hulpmiddelen,44,4,8,8630265.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-005,inkoop,KPN B.V.,contract_count,439,1,6410 - Spraak en dataverbindingen,44,10,8,469800219.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-006,inkoop,Bol.com B.V.,contract_count,422,1,4610 - Benodigdheden en hulpmiddelen,45,4,8,2945211.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-007,inkoop,Coolblue B.V.,contract_count,404,1,4610 - Benodigdheden en hulpmiddelen,45,5,8,5405202.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-008,inkoop,Mainpress B.V.,contract_count,365,1,"8110 - Vakliteratuur, abonnementen en overige informatie",41,8,8,78410182.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-009,inkoop,Worldmeetings.com B.V.,contract_count,351,1,1180 - Reis en verblijfkosten,43,8,7,93475175.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-010,inkoop,Conrad Electronic Benelux B.V.,contract_count,328,1,4610 - Benodigdheden en hulpmiddelen,41,4,8,3110164.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-011,inkoop,COMPAREX Nederland B.V.,contract_count,327,2,"6220 - Beheer, Onderhoud programmatuur & software",38,10,6,582570163.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-012,inkoop,Discountoffice.nl B.V.,contract_count,326,1,4610 - Benodigdheden en hulpmiddelen,43,4,8,2075163.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-013,inkoop,Topgeschenken Nederland B.V.,contract_count,318,1,1130 - Representatie voor eigen personeel,34,6,8,12755159.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-014,inkoop,Capgemini Nederland B.V.,contract_count,303,2,1150 - Studie en opleiding,32,10,8,577210151.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-015,inkoop,VCK Travel B.V.,contract_count,300,1,1180 - Reis en verblijfkosten,40,9,8,321260150.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-016,inkoop,Koninklijke van der Most B.V.,contract_count,289,1,4610 - Benodigdheden en hulpmiddelen,36,8,8,68140144.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-017,inkoop,QuoVadis Trustlink B.V.,contract_count,271,1,"6220 - Beheer, Onderhoud programmatuur & software",32,5,8,7530135.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-018,inkoop,Centralpoint Nijmegen B.V.,contract_count,259,1,6110 - Aanschaf Hardware,35,10,7,451045129.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-019,inkoop,Lasaulec B.V.,contract_count,256,1,4610 - Benodigdheden en hulpmiddelen,36,8,8,95455128.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-020,inkoop,Lyreco Nederland B.V,contract_count,255,1,4610 - Benodigdheden en hulpmiddelen,37,7,8,42480127.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-021,inkoop,Logeion,contract_count,251,1,1150 - Studie en opleiding,23,1,8,1255125.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-022,inkoop,Holding Beheermaatschappij Ropeni B.V.,contract_count,249,1,1130 - Representatie voor eigen personeel,25,3,8,2085124.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-023,inkoop,Schiphol Nederland B.V.,contract_count,249,1,1180 - Reis en verblijfkosten,38,7,8,50315124.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-024,inkoop,Gartner Nederland B.V,contract_count,242,4,1150 - Studie en opleiding,25,7,8,60980121.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-025,inkoop,SoftwareONE Netherlands B.V.,contract_count,240,1,"6220 - Beheer, Onderhoud programmatuur & software",34,10,4,729540120.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-026,inkoop,Pels Rijcken & Droogleever Fortuijn N.V.,contract_count,236,2,3140 - Uitbesteden juridische adviesopdrachten,38,11,8,685795117.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-027,inkoop,Things To Make And Do B.V.,contract_count,236,1,8510 - Diversen Communicatie,31,5,8,7045118.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-028,inkoop,Buyitdirect.com B.V.,contract_count,231,1,6110 - Aanschaf Hardware,34,7,7,65650115.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-029,inkoop,Atos Nederland B.V.,contract_count,223,1,6510 - Aan een externe partij uitbestede ICT-dienstverlening,30,9,8,388330111.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-030,inkoop,Albron Nederland B.V.,contract_count,220,1,1130 - Representatie voor eigen personeel,32,7,8,58380110.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-031,inkoop,Plein 9 A B.V.,contract_count,218,1,1130 - Representatie voor eigen personeel,30,3,8,2305109.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-032,inkoop,Health2Work B.V.,contract_count,208,1,1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen),30,4,8,2565104.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-033,inkoop,GW Cross Media B.V.,contract_count,206,1,6510 - Aan een externe partij uitbestede ICT-dienstverlening,27,7,8,14210103.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-034,inkoop,Vermaat Leisure B.V.,contract_count,205,1,1130 - Representatie voor eigen personeel,24,5,8,3195102.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-035,inkoop,Ardis Organisatieontwikkeling B.V.,contract_count,204,1,1150 - Studie en opleiding,25,6,8,8740102.0,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-036,inkoop,Tilkema Horeca B.V.,contract_count,203,1,1130 - Representatie voor eigen personeel,27,2,8,1315101.5,Q-INKOOP-01,2026-03-02T19:28:34Z
INKOOP-TOP-037,inkoop,Leeuwendaal Advies B.V.,contract_count,198,1,1150 - Studie en opleiding,22,7,8,47585099.0,Q-INKOOP-01,2026-03-02T19:28:34Z
