fact_id,ontvanger,jaar,bedrag,descriptor,type
INSTR-001,Sociale Verzekeringsbank,2024,27828000000,Rijksbijdrage vermogenstekort ouderdomsfonds,Bijdrage aan ZBOs en RWTs
INSTR-002,Sociale Verzekeringsbank,2022,17612000000,RB VERMOGENSTEK OF,Bijdrage B&S Fondsen
INSTR-003,Sociale Verzekeringsbank,2023,17543400000,Rijksbijdrage vermogenstekort ouderdomsfonds,Bijdrage aan ZBOs en RWTs
INSTR-004,Zorginstituut Nederland,2024,15550000000,BEK Bijdr Wlz,Bekostiging
INSTR-005,Zorginstituut Nederland,2023,14449325000,Afsluiting AFBZ,Bekostiging
INSTR-006,TenneT Holding B.V.,2024,13100000000,Lening TenneT,Leningen
INSTR-007,Zorginstituut Nederland,2023,9650000000,Bijdr Wlz,Bekostiging
INSTR-008,Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor Zorgtoeslag,2023,8391128000,Zorgtoeslag,Inkomensoverdrachten
INSTR-009,Politie,2023,7276336000,Bijdrage ZBO's/RWT's: Politie,Bijdrage aan ZBOs en RWTs
INSTR-010,Politie,2022,7089791000,Politie,Bijdragen aan ZBOs/RWTs
INSTR-011,Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor INK Zorgtoeslag,2024,7043866000,INK Zorgtoeslag,Inkomensoverdrachten
INSTR-012,Zorginstituut Nederland,2024,5302200000,BEK Bijdrage Kosten Korting (BIKK),Bekostiging
INSTR-013,Belastingdienst/Toeslagen,2024,5096982000,Uitkeringslasten WKB,Inkomensoverdrachten
INSTR-014,Invoerrechten,2022,4991221000,Invoerrechten,Bijdrage (inter)nationale orgs
INSTR-015,Belastingdienst/Toeslagen,2024,4937612000,Uitkeringslasten KOT,Inkomensoverdrachten
INSTR-016,BNI-afdrachten,2022,4897609000,BNI-afdrachten,Bijdrage (inter)nationale orgs
INSTR-017,Zorginstituut Nederland,2023,4823800000,Bijdrage Kosten Korting (BIKK),Bekostiging
INSTR-018,Sociale Verzekeringsbank,2024,4625128000,Uitkeringslasten AKW,Inkomensoverdrachten
INSTR-019,Invoerrechten,2023,4526754000,Invoerrechten,Bijdrage aan (inter-)nationale organisaties
INSTR-020,Uitvoeringsinstituut werknemersverzekeringen,2024,4378700000,Uitkeringslasten WAJONG,Inkomensoverdrachten
INSTR-021,Belastingdienst/Toeslagen,2023,4377463000,Uitkeringslasten KOT,Inkomensoverdrachten
INSTR-022,Sociale Verzekeringsbank,2023,4369419000,Uitkeringslasten AKW,Inkomensoverdrachten
INSTR-023,Ministerie van Financien,2022,4298568000,Huurtoeslag,Inkomensoverdrachten
INSTR-024,BNI-afdrachten,2023,4222901000,BNI-afdrachten,Bijdrage aan (inter-)nationale organisaties
INSTR-025,Belastingdienst/Toeslagen,2022,4104209000,UITKL KOT,Inkomensoverdrachten
