fact_id,module,entity,metric,value,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,years_with_data,row_count,query_ref,verified_at
INSTR-TOP-001,instrumenten,Sociale Verzekeringsbank,total_received,114262130000,0,0,2906000,3708000,4078000,27714867000,24287208000,25651893000,36597470000,7,295,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-002,instrumenten,Zorginstituut Nederland,total_received,71007222000,0,0,0,0,0,14567492000,24503000,32129157000,24286070000,4,71,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-003,instrumenten,Politie,total_received,34256377000,23116000,14379000,34902000,6278826000,6457911000,6595418000,7311689000,7517724000,22412000,9,97,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-004,instrumenten,GEMEENTEN,total_received,28042509000,28042509000,0,0,0,0,0,0,0,0,1,4,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-005,instrumenten,Belastingdienst/Toeslagen,total_received,27039761000,0,0,0,0,0,0,7519270000,8874933000,10645558000,3,16,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-006,instrumenten,BNI-afdrachten,total_received,19821110000,0,0,0,0,5168887000,5531713000,4897609000,4222901000,0,4,4,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-007,instrumenten,Uitvoeringsinstituut werknemersverzekeringen,total_received,18047313000,0,0,0,5000,0,4946540000,0,6007701000,7093067000,4,330,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-008,instrumenten,Niet toegewezen,total_received,17359640000,5547798000,5260100000,7000,0,6550047000,1529000,159000,0,0,6,40,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-009,instrumenten,Invoerrechten,total_received,17353195000,0,0,0,0,3943638000,3891582000,4991221000,4526754000,0,4,4,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-010,instrumenten,Nationale Politie,total_received,17271063000,5443224000,5975038000,5857131000,0,0,-252000,0,-202000,-3876000,3,40,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-011,instrumenten,Ministerie van Financien,total_received,16964954000,0,0,1897000,3997025000,4295632000,4311919000,4298863000,0,59618000,6,15,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-012,instrumenten,TenneT Holding B.V.,total_received,15946400000,4800000,4800000,0,4800000,0,0,1230000000,1602000000,13100000000,6,6,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-013,instrumenten,Prorail B.V.,total_received,12272597000,1753369000,1834267000,4043280000,1940455000,21000,22000,22000,2691199000,9962000,9,175,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-014,instrumenten,Gemeente Rotterdam,total_received,11911180000,5860000,126000,0,41770000,54591000,2732347000,2851447000,3175897000,3049142000,8,192,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-015,instrumenten,Gemeente Amsterdam,total_received,11146597000,68251000,64147000,0,64536000,86954000,3535907000,3765725000,-444750000,4005827000,7,266,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-016,instrumenten,Dienst Justitiële Inrichtingen,total_received,10815359000,0,0,2058599000,0,0,2586844000,2856013000,3002837000,311066000,5,67,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-017,instrumenten,Ministerie van Financiën,total_received,9441726000,15773000,4136633000,4165811000,212620000,210487000,165671000,261594000,214788000,58349000,9,68,Q-INSTR-01,2026-03-02T19:28:34Z
