fact_id,module,entity,metric,totaal,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,max_ratio,drop_period,query_ref,verified_at
INSTR-YOY-DN-001,instrumenten,Niet toegewezen,yoy_decrease,17359640000,5547798000,5260100000,7000,0,6550047000,1529000,159000,0,0,751442.857142857,2017-2018,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-002,instrumenten,Geanonimiseerde ontvanger(s) van Bijdrage aan ZBOs en RWTs voor Bijdrage aan ACM,yoy_decrease,707006000,0,0,0,0,0,0,0,707005000,1000,707005.0,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-003,instrumenten,Nederlandse organisatie voor wetenschappelijk onderzoek (NWO),yoy_decrease,1935895000,56044000,794998000,275000,0,0,1023797000,5000,60751000,25000,204759.4,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-004,instrumenten,Prorail B.V.,yoy_decrease,12272597000,1753369000,1834267000,4043280000,1940455000,21000,22000,22000,2691199000,9962000,92402.6190476191,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-005,instrumenten,Centraal Orgaan opvang asielzoekers (COA),yoy_decrease,4531035000,1115249000,868401000,0,0,0,0,25000,2547197000,163000,15626.9754601227,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-006,instrumenten,Stichting Projectenbureau Publieke Gezondheid en Veiligheid Nederland,yoy_decrease,122538000,0,0,0,0,603000,1805000,661000,119461000,8000,14932.625,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-007,instrumenten,UnitedConsumers Energie,yoy_decrease,127058000,0,0,0,0,0,0,46222000,80829000,7000,11547.0,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-008,instrumenten,Stichting Christelijke Hogeschool Windesheim,yoy_decrease,225988000,0,0,0,0,0,0,0,225963000,25000,9038.52,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-009,instrumenten,Raad voor de rechtspraak,yoy_decrease,5871680000,0,0,37000,1075954000,1077097000,1161916000,1230171000,1326342000,163000,8137.06748466258,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-010,instrumenten,Altena,yoy_decrease,149544000,0,0,0,73238000,76289000,10000,7000,0,0,7628.9,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-011,instrumenten,Stichting Hogeschool van Amsterdam,yoy_decrease,2467281000,796000,257533000,295119000,305736000,45000,374557000,417663000,402947000,412885000,6794.13333333333,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-012,instrumenten,Memoriaal boeking,yoy_decrease,4375237000,0,0,0,4374550000,687000,0,0,0,0,6367.61280931587,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-013,instrumenten,Rotterdam,yoy_decrease,6696380000,0,1519861000,1641582000,1703217000,1831222000,498000,0,0,0,3677.15261044177,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-014,instrumenten,Stichting Radboud Universiteit,yoy_decrease,555224000,0,0,0,0,0,0,0,555069000,155000,3581.09032258065,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-015,instrumenten,Ns Reizigers B.V.,yoy_decrease,2221909000,555000,3256000,2649000,20650000,617466000,2655000,696966000,877463000,249000,3523.94779116466,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-016,instrumenten,Essent Retail Energie B.V.,yoy_decrease,1248573000,0,0,0,0,0,0,578581000,669783000,209000,3204.7033492823,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-017,instrumenten,Stichting Hogeschool Rotterdam,yoy_decrease,1980639000,1548000,197905000,238163000,254011000,261639000,323791000,356776000,126000,346680000,2831.55555555556,2022-2023,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-018,instrumenten,Innova Energie B.V.,yoy_decrease,134598000,0,0,0,0,0,0,70186000,64388000,24000,2682.83333333333,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-019,instrumenten,GGD regio Utrecht,yoy_decrease,242131000,0,0,0,60000,52000,178065000,75000,41514000,22365000,2374.2,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-020,instrumenten,Stichting voor Voortgezet Onderwijs,yoy_decrease,175119000,328000,81592000,86830000,37000,703000,779000,3390000,0,1460000,2346.75675675676,2018-2019,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-021,instrumenten,Stichting Nationaal Warmtefonds,yoy_decrease,309472000,0,0,0,0,67020000,27400000,85600000,129390000,62000,2086.93548387097,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-022,instrumenten,GGD Hart voor Brabant - vestiging,yoy_decrease,119484000,0,0,0,0,0,105969000,58000,0,13457000,1827.05172413793,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-023,instrumenten,Budget Thuis B.V.,yoy_decrease,376653000,0,0,0,0,0,0,305677000,70935000,41000,1730.12195121951,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-024,instrumenten,Voorschoten,yoy_decrease,111231000,0,25230000,26468000,28656000,30856000,21000,0,0,0,1469.33333333333,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-025,instrumenten,Particulieren ontvangers,yoy_decrease,335516000,0,0,0,35659000,67960000,100713000,83000,131101000,0,1213.40963855422,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-026,instrumenten,Politieacademie,yoy_decrease,130714000,109458000,2797000,2856000,2926000,3009000,3075000,3228000,3362000,3000,1120.66666666667,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-027,instrumenten,Koning Willem I College,yoy_decrease,111525000,0,0,0,0,111215000,100000,96000,0,114000,1112.15,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-028,instrumenten,ROC Nova College,yoy_decrease,103538000,0,0,0,0,103265000,93000,94000,0,86000,1110.37634408602,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-029,instrumenten,United Nations,yoy_decrease,772217000,172449000,124159000,119426000,129980000,116079000,106105000,100000,3444000,475000,1061.05,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-030,instrumenten,Raad voor Rechtsbijstand,yoy_decrease,319354000,49889000,49732000,50630000,51856000,31003000,26925000,28507000,30782000,30000,1026.06666666667,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-031,instrumenten,Stichting Verslavingsreclassering GGZ,yoy_decrease,610641000,69375000,69448000,72912000,75307000,77033000,78826000,82270000,85381000,89000,959.337078651685,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-032,instrumenten,Koninklijke stichting Defensie Musea,yoy_decrease,150555000,15800000,15893000,32066000,16300000,18250000,16902000,17141000,18184000,19000,957.052631578947,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-033,instrumenten,Cft Inz Bonaire,yoy_decrease,182490000,23655000,23548000,22339000,0,0,28386000,32956000,51551000,55000,937.290909090909,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-034,instrumenten,ROC van Twente,yoy_decrease,162993000,13000,0,5000,23000,160331000,180000,160000,0,2281000,890.727777777778,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-035,instrumenten,Open Universiteit,yoy_decrease,156331000,0,40566000,45863000,87000,185000,461000,357000,68732000,80000,859.15,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-036,instrumenten,Energiedirect B.V.,yoy_decrease,355091000,0,0,0,0,0,0,205458000,149452000,181000,825.701657458564,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-037,instrumenten,"INOS, Stichting Katholiek Onderwijs",yoy_decrease,133876000,186000,58269000,65047000,93000,1430000,4099000,1658000,0,3094000,699.430107526882,2018-2019,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-038,instrumenten,Reclassering Nederland,yoy_decrease,1246468000,142206000,139755000,145032000,152139000,158197000,160502000,167493000,180885000,259000,698.397683397683,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-039,instrumenten,Nederlandse Voedsel- en Warenautoriteit (NVWA),yoy_decrease,940406000,162982000,167634000,185122000,209010000,215338000,320000,0,0,0,672.93125,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-040,instrumenten,Autoriteit persoonsgegevens,yoy_decrease,163870000,0,10894000,16231000,20492000,24189000,26624000,29020000,36361000,59000,616.28813559322,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-041,instrumenten,Zorginstituut Nederland,yoy_decrease,71007222000,0,0,0,0,0,14567492000,24503000,32129157000,24286070000,594.51871199445,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
