fact_id,module,entity,metric,totaal,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,max_ratio,jump_period,query_ref,verified_at
INSTR-YOY-UP-001,instrumenten,Prorail B.V.,yoy_increase,12272597000,1753369000,1834267000,4043280000,1940455000,21000,22000,22000,2691199000,9962000,122327.227272727,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-002,instrumenten,Centraal Orgaan opvang asielzoekers (COA),yoy_increase,4531035000,1115249000,868401000,0,0,0,0,25000,2547197000,163000,101887.88,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-003,instrumenten,Stichting Openbaar Onderwijs Zwolle en Regio,yoy_increase,615790000,0,0,2000,92352000,0,102794000,125159000,148221000,147262000,46176.0,2018-2019,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-004,instrumenten,Raad voor de rechtspraak,yoy_increase,5871680000,0,0,37000,1075954000,1077097000,1161916000,1230171000,1326342000,163000,29079.8378378378,2018-2019,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-005,instrumenten,Gemeente Noardeast-Fryslân,yoy_increase,563788000,0,0,0,0,8000,128470000,131179000,154294000,149837000,16058.75,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-006,instrumenten,Nederlandse organisatie voor wetenschappelijk onderzoek (NWO),yoy_increase,1935895000,56044000,794998000,275000,0,0,1023797000,5000,60751000,25000,12150.2,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-007,instrumenten,Stichting Spinoza Lyceum Amsterdam,yoy_increase,113541000,1000,9222000,10988000,12537000,0,17053000,19787000,21603000,22350000,9222.0,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-008,instrumenten,Stichting Hogeschool van Amsterdam,yoy_increase,2467281000,796000,257533000,295119000,305736000,45000,374557000,417663000,402947000,412885000,8323.48888888889,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-009,instrumenten,ROC van Twente,yoy_increase,162993000,13000,0,5000,23000,160331000,180000,160000,0,2281000,6970.91304347826,2019-2020,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-010,instrumenten,Sociale Verzekeringsbank,yoy_increase,114262130000,0,0,2906000,3708000,4078000,27714867000,24287208000,25651893000,36597470000,6796.19102501226,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-011,instrumenten,Onderwijsstichting Zelfstandige Gym,yoy_increase,102511000,5000,32325000,34333000,35848000,0,0,0,0,0,6465.0,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-012,instrumenten,Stichting Meer Primair,yoy_increase,261295000,4000,25669000,28636000,29931000,30436000,32487000,37699000,38533000,37900000,6417.25,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-013,instrumenten,Mondriaan Fonds,yoy_increase,305225000,4000,25568000,26970000,42735000,67237000,80180000,62531000,0,0,6392.0,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-014,instrumenten,ZonMw,yoy_increase,474250000,0,179000,704000,16000,52000,1327000,79000,82000,471811000,5753.79268292683,2023-2024,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-015,instrumenten,Gemeente Súdwest-Fryslân,yoy_increase,887328000,0,0,0,0,38000,194476000,210706000,240008000,242100000,5117.78947368421,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-016,instrumenten,"Stichting Codarts, Hogeschool voor de Kunsten",yoy_increase,140070000,0,0,5000,23572000,0,26721000,28534000,29784000,31454000,4714.4,2018-2019,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-017,instrumenten,Gemeente Bodegraven-Reeuwijk,yoy_increase,269015000,0,0,0,0,13000,57087000,62042000,75605000,74268000,4391.30769230769,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-018,instrumenten,Nederlandse organisatie voor,yoy_increase,2698839000,0,0,0,0,0,0,305000,1304592000,1393942000,4277.35081967213,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-019,instrumenten,Gemeente Hengelo,yoy_increase,858083000,54000,16000,0,0,53000,183946000,196687000,252285000,225042000,3470.67924528302,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-020,instrumenten,GGD regio Utrecht,yoy_increase,242131000,0,0,0,60000,52000,178065000,75000,41514000,22365000,3424.32692307692,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-021,instrumenten,Stichting Proo Noord-Veluwe,yoy_increase,146821000,5000,14359000,15655000,16613000,16883000,17631000,21385000,22411000,21879000,2871.8,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-022,instrumenten,Stichting Hogeschool Rotterdam,yoy_increase,1980639000,1548000,197905000,238163000,254011000,261639000,323791000,356776000,126000,346680000,2751.42857142857,2023-2024,Q-INSTR-02,2026-03-02T19:28:34Z
