fact_id,ontvanger,jaar,bedrag,descriptor,provincie
PROV-001,Qbuzz B.V.,2024,155487682,"Bereikbaarheid - Subsidieverordening Mobiliteit Regio Utrecht 2015 - Maatregelen gericht op verbetering van de kwaliteit van het OV  (André van Schie)
",Utrecht
PROV-002,Qbuzz B.V.,2024,103554630,SRM 3.2.1 Regionaal openbaar vervoer over weg en spoor - Snel van A naar B - Bereikbaar Zuid-Holland,Zuid-Holland
PROV-003,Qbuzz B.V.,2022,88771958,"Bereikbaarheid II - Openbaar Vervoer - MOB/BRU/Mobiliteit Regio Utrecht - Sociale Veiligheid 2022
(QB22.SOV01) (Arne Schaddelee)
",Utrecht
PROV-004,Qbuzz B.V.,2023,81885630,"Bereikbaarheid  Openbaar Vervoer - Subsidieverordening Mobiliteit Regio Utrecht 2015 - Beheer distributienetwerk 2022 (Arne Schaddelee)
",Utrecht
PROV-005,N.V. Nederlandse Gasunie,2022,81000000,N.V. Nederlandse Gasunie t.b.v. warmteleiding Warmtelinq+  - Verduurzaming gebouwde omgeving - Schone energie voor iedereen,Zuid-Holland
PROV-006,Arriva Personenvervoer Nederland B.V.,2023,78464071,SRM 3.2.1 Regionaal openbaar vervoer over weg en spoor - Snel van A naar B - Bereikbaar Zuid-Holland,Zuid-Holland
PROV-007,Arriva Personenvervoer Nederland BV,2024,77098075,"- Verbeteren mobiliteit en bereikbaarheid - Asv, begrotingssubsidies - Sociaal Veiligheidsplan 2024
",Noord-Brabant
PROV-008,Arriva Personenvervoer Nederland BV,2023,71350097,"Algemeen financieel beleid - Verbeteren mobiliteit en bereikbaarheid - Asv, begrotingssubsidies - Sociaal Veiligheidsplan 2023
",Noord-Brabant
PROV-009,Stichting Stimuleringsfonds Volkshuisvesting Nederlandse Gemeenten,2023,70000000,"Fonds verduurzaming maatschappelijk vastgoed (lening) - Fonds Verduurzaming Maatschappelijk Vastgoed
",Gelderland
PROV-010,Coöperatie Natuurrijk Limburg U.A.,2023,69131989,"Actieve soortenbescherming - Beschermingsplan Patrijs Limburg
",Limburg
PROV-011,Staatsbosbeheer Fryslân	,2023,66874749,"Natuur- en landschapsbeheer (SrNL) Fryslân 2023-2028 - Staatsbosbeheer 
",Friesland
PROV-012,Arriva Personenvervoer Nederland BV,2022,64561267,"Algemeen financieel beleid - Verbeteren mobiliteit en bereikbaarheid - Asv, begrotingssubsidies - Sociaal Veiligheidsplan 2022
",Noord-Brabant
PROV-013,Keolis Nederland B.V.,2024,58213452,"Bereikbaarheid - Openbaar vervoer Concessie Provincie Utrecht 2016-2023 - Wijkbus 501 (Arne Schaddelee)
",Utrecht
PROV-014,Eindhoven Airport N.V.,2022,55000000,"Algemeen financieel beleid - Versterken economie en innovatie - Asv, begrotingssubsidies - kwaliteitsimpuls terminal EA
",Noord-Brabant
PROV-015,AVG restrictie,2022,52004326,Zonnig zuid-Holland - Schone en duurzame elektriciteitsvoorziening - Schone energie voor iedereen,Zuid-Holland
PROV-016,Coöperatief Boerennatuur Veluwe ,2023,51647033,"Agrarisch natuurbeheer 2023-2028 - Gebiedsaanvraag ANlB 2023-2028 Veluwe
",Gelderland
PROV-017,Keolis Nederland B.V.,2023,47469603,"Bereikbaarheid Openbaar Vervoer - Concessie Openbaar Vervoer Provincie Utrecht 2016-2025 - Syntus Marketingplan 2023 (André van Schie)
",Utrecht
PROV-018,Natuurmonumenten,2023,43858969,"Actieve soortenbescherming - Heideherstel voor de Zadelsprinkhaan
",Limburg
PROV-019,Arriva Personenvervoer Nederland B.V.,2022,43629366,Mob - 3 reg vervoer over weg en spoor - Veilig en duurzaam - Bereikbaar Zuid-Holland,Zuid-Holland
PROV-020,Ver. tot behoud v. Natuurmonumenten in Nederland,2023,42882269,"Algemeen financieel beleid - Verbeteren natuurlijke leefomgeving - Asv, begrotingssubsidies - Capaciteit voor realisatie NNB 2023-2027
",Noord-Brabant
PROV-021,Stg. Het Noordbrabants Landschap,2023,42158943,"Algemeen financieel beleid - Verbeteren natuurlijke leefomgeving - Asv, begrotingssubsidies - Activatie natuur en landschap 2023
",Noord-Brabant
PROV-022,Qbuzz B.V.,2023,38568691,SRM 3.2.1 Regionaal openbaar vervoer over weg en spoor - Snel van A naar B - Bereikbaar Zuid-Holland,Zuid-Holland
PROV-023,Gemeente Amsterdam,2022,38127704,"Ruimte en Water - Uvr Woonakkoorden  - Nieuwe woonruimteverdeling
",Noord-Holland
PROV-024,Coöperatieve Vereniging Agrarisch Landschap Achterhoek ,2023,37182982,"Agrarisch natuurbeheer 2023-2030 - Gebiedsaanvraag ANlB 2023-2028 Achterhoek
",Gelderland
PROV-025,AVG restrictie,2023,35624780,Zonnig zuid-Holland - Schone en duurzame elektriciteitsvoorziening - Schone energie voor iedereen,Zuid-Holland
PROV-026,Pivot Park Vastgoed B.V.,2022,33850000,"Algemeen financieel beleid - Versterken economie en innovatie - Asv, begrotingssubsidies - Pivot Park Nieuwbouw Grizzly
",Noord-Brabant
PROV-027,Gemeente Leiden,2022,33620000,gemeente Leiden t.b.v. Leidse Ring Noord 2021 ‚Äì 2030  - Snel van A naar B - Bereikbaar Zuid-Holland,Zuid-Holland
PROV-028,Vereniging Noardlike Fryske Wâlden	,2023,33578169,"agrarisch natuur- en landschapsbeheer  - Vereniging Noardlike Fryske Walden - gebiedsaanvraag periode 2023-2028 ihkv agrarisch natuur- en landschapsbeheer (ANLb)
",Friesland
PROV-029,Syntus BV,2022,33461149,"Bereikbaarheid II - Openbaar Vervoer - Uitvoeringsverordening Mobiliteit Regio Utrecht - Exploitatiesubsidie streekconcessie OV
provincie Utrecht Syntus 2022
 (Arne Schaddelee)
",Utrecht
PROV-030,Hermes Openbaar Vervoer B.V.,2023,33325511,"Algemeen financieel beleid - Verbeteren mobiliteit en bereikbaarheid - Asv, begrotingssubsidies - Hermes sociale veiligheid OV
",Noord-Brabant
PROV-031,It Fryske Gea	,2023,32729894,"Middelgrote maatschappelijke initiatieven Regio Zuidoost Fryslân 2022 Tender 3 - Sluis Noordpolder De Veenhoop
",Friesland
PROV-032,"Coöperatie ""Agrarische Natuur Drenthe""
U.A.",2023,31375976,"Landelijk Gebied - Actieplan Proeftuin NIL Drentsche Aa
2022-2023
",Drenthe
PROV-033,2307 natuurlijke personen,2023,30072710,"Verordening Stimuleringslening Duurzaam Thuis - Verordening Stimuleringslening Duurzaam Thuis
",Limburg
PROV-034,Coöperatieve Vereniging Agrarisch Landschap,2023,29694094,"Agrarisch natuurbeheer 2023-2029 - Gebiedsaanvraag ANlB 2023-2028 Rivierenland
",Gelderland
PROV-035,Vereniging Natuurmonumenten,2023,29342826,"Groen - Begrotingspost/BUVR - Programma Vitaler Wormer
",Noord-Holland
PROV-036,Connexxion Openbaar Vervoer N.V.,2023,28966160,SRM 3.2.1 Regionaal openbaar vervoer over weg en spoor - Snel van A naar B - Bereikbaar Zuid-Holland,Zuid-Holland
PROV-037,Vereniging tot Behoud van Natuurmonumenten in Nederland,2023,27989471,SKNL Kwaliteitsimpuls natuur en landschap - Gezonde natuur - Versterken natuur in Zuid-Holland,Zuid-Holland
PROV-038,Hermes Openbaar Vervoer B.V.,2024,27864403,"- Verbeteren mobiliteit en bereikbaarheid - Asv, begrotingssubsidies - Hermes sociale veiligheid OV
",Noord-Brabant
PROV-039,Staatsbosbeheer,2024,26965187,Subs. natuur- en landschapsbeheer SVNL 2024-2029,Zeeland
PROV-040,Vereniging Tot Behoud Van Natuurmonumenten In Nederland,2023,26694732,"3 Vitaal Platteland - 4.17 Aanpak Van Invasieve Exoten 2.0 - Invasieve Exoten Landgoederen Oldenzaal
",Overijssel
PROV-041,Stichting Het Limburgs Landschap,2023,26343004,"Actieve soortenbescherming - Verbindingsgebied Ulingsheide
",Limburg
PROV-042,Stichting Landschap Overijssel,2023,25160211,"1 Ruimtelijke Ontwikkeling En Waterbeheer - Asv - Uitvoeringspilot Waardevolle Kleine Wateren
",Overijssel
PROV-043,Coöperatie Agrarisch Natuurbeheer,2023,24662706,"Landelijk gebied - Subsidieregeling Agenda Vitaal Platteland provincie Utrecht - Aanleg en herstel Kleine landschapselementen (Mirjam Sterk)
",Utrecht
PROV-044,ANC Westergo	,2023,22724628,"agrarisch natuur- en landschapsbeheer  - ANC Westergo - gebiedsaanvraag periode 2023-2028 ihkv agrarisch natuur- en landschapsbeheer (ANLb)
",Friesland
PROV-045,Stichting Het Zeeuwse Landschap,2023,21609114,Integrale kostensubs. 2023 Stichting Het Zeeuwse Landschap,Zeeland
