fact_id,module,entity,provincie,metric,value,y2018,y2019,y2020,y2021,y2022,y2023,y2024,years_with_data,row_count,query_ref,verified_at
PROV-TOP-001,provincie,Arriva Personenvervoer Nederland BV,Noord-Brabant,total_received,598256567,58633480,60296432,99129295,68366925,64561267,71350097,77098075,9,74,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-002,provincie,Groen Ontwikkelfonds Brabant,Noord-Brabant,total_received,435535579,189684203,1013000,95941172,0,0,0,0,5,9,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-003,provincie,Hermes Openbaar Vervoer B.V.,Noord-Brabant,total_received,331822101,21732154,46900135,79256175,36585608,17871685,33325511,27864403,9,42,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-004,provincie,Qbuzz B.V.,Utrecht,total_received,326145270,0,0,0,0,88771958,81885630,155487682,3,45,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-005,provincie,Stg. Het Noordbrabants Landschap,Noord-Brabant,total_received,160301815,28745742,16524051,30379831,2624207,6025579,42158943,2163439,9,76,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-006,provincie,Enexis Holding N.V.,Noord-Brabant,total_received,159490380,0,0,159490380,0,0,0,0,1,1,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-007,provincie,Qbuzz B.V.,Zuid-Holland,total_received,142123321,0,0,0,0,0,38568691,103554630,2,8,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-008,provincie,ProRail B.V.,Noord-Brabant,total_received,134590000,0,0,0,134590000,0,0,0,1,2,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-009,provincie,AVG restrictie,Zuid-Holland,total_received,129925025,0,1159221,2535919,31293325,52004326,35624780,7307454,6,414,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-010,provincie,Arriva Personenvervoer Nederland B.V.,Zuid-Holland,total_received,128614520,0,0,0,0,43629366,78464071,6521083,3,7,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-011,provincie,Min. v. Infrastruct. en Milieu,Noord-Brabant,total_received,113660000,113660000,0,0,0,0,0,0,1,2,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-012,provincie,Gemeente  Amsterdam,Noord-Holland,total_received,109767099,843385,843385,28528657,36168127,38127704,444657,2843601,9,65,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-013,provincie,Keolis Nederland B.V.,Utrecht,total_received,105683055,0,0,0,0,0,47469603,58213452,2,10,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-014,provincie,Ver. tot behoud v. Natuurmonumenten in Nederland,Noord-Brabant,total_received,104757511,22515376,17770591,20432561,615486,541228,42882269,0,6,29,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-015,provincie,Connexxion Openbaar Vervoer N.V.,Zuid-Holland,total_received,99856552,0,0,26887684,11943016,14904070,28966160,17155622,5,10,Q-PROV-01,2026-03-02T19:28:34Z
PROV-TOP-016,provincie,Staatsbosbeheer,Gelderland,total_received,91743628,4665606,62589256,2134801,710355,2141475,14388858,802291,9,67,Q-PROV-01,2026-03-02T19:28:34Z
