fact_id,module,entity,metric,value,recipient_count,y2018,y2019,y2020,y2021,y2022,y2023,y2024,query_ref,verified_at
PROV-TOTAL-001,provincie,Noord-Brabant,provincie_total,4386411748,1966,792557089,393061993,803253375,373330657,311595637,410697133,293029469,Q-PROV-02,2026-03-02T19:28:34Z
PROV-TOTAL-002,provincie,Gelderland,provincie_total,2317442691,3190,196379501,347623025,317877142,251905461,264799595,377389974,204166826,Q-PROV-02,2026-03-02T19:28:34Z
PROV-TOTAL-003,provincie,Zuid-Holland,provincie_total,1451686521,1465,0,57022967,137233253,173870893,358751433,445440445,279367530,Q-PROV-02,2026-03-02T19:28:34Z
PROV-TOTAL-004,provincie,Limburg,provincie_total,1274409374,3364,216256053,174109766,128600582,137957446,173878812,308858284,134748431,Q-PROV-02,2026-03-02T19:28:34Z
PROV-TOTAL-005,provincie,Noord-Holland,provincie_total,1104941358,2431,82739681,82739681,132506114,115453628,178909669,209415227,136812664,Q-PROV-02,2026-03-02T19:28:34Z
PROV-TOTAL-006,provincie,Overijssel,provincie_total,1051322699,5423,89844307,104808074,232047885,171529955,91396838,243409340,118286300,Q-PROV-02,2026-03-02T19:28:34Z
PROV-TOTAL-007,provincie,Utrecht,provincie_total,863036768,856,0,0,0,0,210156808,328719648,324160312,Q-PROV-02,2026-03-02T19:28:34Z
PROV-TOTAL-008,provincie,Friesland,provincie_total,640291481,2987,0,0,100645803,105703258,61246478,372695942,0,Q-PROV-02,2026-03-02T19:28:34Z
PROV-TOTAL-009,provincie,Drenthe,provincie_total,584257784,2709,54412151,72736375,41820619,77405703,72248147,93340036,42529950,Q-PROV-02,2026-03-02T19:28:34Z
PROV-TOTAL-010,provincie,Zeeland,provincie_total,545625869,931,83627492,70909762,52495753,44657959,39438232,78682315,82555253,Q-PROV-02,2026-03-02T19:28:34Z
