fact_id,module,entity,source,metric,contract_count,totaal,years_with_data,query_ref,verified_at
PUB-SRC-001,publiek,Anoniem,COA,per_source_count,1335,14351335,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-002,publiek,De Ridder,COA,per_source_count,91,28675091,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-003,publiek,Lasaulec B.V.,COA,per_source_count,82,3925081,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-004,publiek,Jan Snel Livings BV,COA,per_source_count,77,78125075,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-005,publiek,King Nederland B.V.,COA,per_source_count,77,14290077,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-006,publiek,Strijbosch B.V.,COA,per_source_count,71,32200071,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-007,publiek,BOL.COM,COA,per_source_count,64,345064,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-008,publiek,Anoniem Anoniem,COA,per_source_count,63,390063,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-009,publiek,Slaapschepen B.V.,COA,per_source_count,61,42840059,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-010,publiek,Poiesz Supermarkten BV,COA,per_source_count,58,435057,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-011,publiek,De Meeuw Oirschot B.V.,COA,per_source_count,57,8465057,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-012,publiek,POL Heteren B.V.,COA,per_source_count,56,1830056,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-013,publiek,Jumbo Supermarkten BV,COA,per_source_count,52,645052,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-014,publiek,Bouwbedrijf Huurman Leiden BV,COA,per_source_count,52,79070052,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-015,publiek,Start People B.V.,COA,per_source_count,51,405455049,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-016,publiek,BAM Bouw en Techniek B.V.,COA,per_source_count,50,88855050,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-017,publiek,Fuego,COA,per_source_count,49,1350049,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-018,publiek,Trans River Line BV,COA,per_source_count,44,20660044,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-019,publiek,Strukton WorkSphere,COA,per_source_count,44,70440043,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-020,publiek,Dienst Justitiele Inrichtingen,COA,per_source_count,44,22710044,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-021,publiek,Gispen Nederland B.V.,COA,per_source_count,43,18305043,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-022,publiek,Kenter B.V.,COA,per_source_count,42,1585040,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-023,publiek,Supermarkt Hesselberth BV,COA,per_source_count,42,205041,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-024,publiek,Facilicom Solutions B.V.,COA,per_source_count,40,44845040,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-025,publiek,Rijksvastgoedbedrijf,COA,per_source_count,40,143585038,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-026,publiek,KG & ROLF,COA,per_source_count,39,540039,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-027,publiek,Gemeente Amsterdam,COA,per_source_count,39,9120038,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-028,publiek,XONAR,COA,per_source_count,39,21410039,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-029,publiek,Protinus IT B.V.,COA,per_source_count,38,30170038,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-030,publiek,Gemeente Nijmegen,COA,per_source_count,38,121335038,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-031,publiek,Global Talk Netherlands,COA,per_source_count,37,7680037,1,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-032,publiek,HumanCapitalCare B.V.,COA,per_source_count,37,10200037,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-033,publiek,Xerox Nederland B.V.,COA,per_source_count,36,7275036,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-034,publiek,Van Zijl Supermarkt B.V.,COA,per_source_count,35,200035,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-035,publiek,Liander,COA,per_source_count,35,5880034,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-036,publiek,Van Hoeckel Partner in Foodcar,COA,per_source_count,34,2450034,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-037,publiek,Stichting Via Jeugd,COA,per_source_count,34,4730034,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-038,publiek,Gemeente Waadhoeke,COA,per_source_count,33,1150032,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-039,publiek,Jean Heybroek BV,COA,per_source_count,33,625033,7,Q-PUB-02,2026-03-02T19:28:34Z
