fact_id,module,entity,source,metric,contract_count,years_with_data,totaal,query_ref,verified_at
PUB-TOP-001,publiek,Anoniem,COA,contract_count,1335,7,14351335,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-002,publiek,Aanvrager geen rechtspersoon,RVO,contract_count,1169,8,33475755,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-003,publiek,Radboudumc,ZonMW,contract_count,367,7,130188940,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-004,publiek,AMC Medical Research BV,ZonMW,contract_count,333,7,134124431,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-005,publiek,Erasmus MC (UMCR),ZonMW,contract_count,305,7,138619293,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-006,publiek,UMC Utrecht (UMCU),ZonMW,contract_count,265,7,104348987,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-007,publiek,"Amsterdam UMC, locatie VUmc",ZonMW,contract_count,261,7,108772498,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-008,publiek,Universiteit Maastricht,ZonMW,contract_count,251,7,77515811,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-009,publiek,Technische Universiteit Delft,NWO,contract_count,249,7,79820824,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-010,publiek,AZL/LUMC p/a Projectenbureau Leiden,ZonMW,contract_count,231,7,111644354,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-011,publiek,UMCG,ZonMW,contract_count,216,7,97448371,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-012,publiek,TNO,RVO,contract_count,207,5,72805941,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-013,publiek,Technische Universiteit Delft,RVO,contract_count,173,6,46650795,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-014,publiek,Universiteit Twente,RVO,contract_count,149,6,38837879,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-015,publiek,Technische Universiteit Eindhoven,RVO,contract_count,147,6,46511075,Q-PUB-01,2026-03-02T19:28:34Z
PUB-TOP-016,publiek,Universiteit Utrecht,NWO,contract_count,145,7,33893588,Q-PUB-01,2026-03-02T19:28:34Z
