fact_id,module,entity,sources,source_count,metric,record_count,totaal,query_ref,verified_at
CROSS-MULTI-001,integraal,gemeente Amsterdam,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,371,11263821454,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-002,integraal,Universiteit Utrecht,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,611,5701839122,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-003,integraal,Universiteit van Amsterdam,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,335,5250670948,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-004,integraal,Rijksuniversiteit Groningen,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,316,4781732943,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-005,integraal,Universiteit Leiden,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,293,4329749761,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-006,integraal,Technische universiteit Delft,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,721,4003963936,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-007,integraal,Stichting Lucas Onderwijs,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,849,2712325878,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-008,integraal,Stichting hogeschool utrecht,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,146,2166840543,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-009,integraal,Stichting Hanzehogeschool Groningen,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,217,1686085337,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-010,integraal,provincie utrecht,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,116,1622563304,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-011,integraal,Universiteit Maastricht,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,477,1394443427,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-012,integraal,gemeente Haarlemmermeer,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,200,1384491603,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-013,integraal,gemeente Ede,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,324,1339549195,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-014,integraal,Stichting Wageningen Research,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,374,822836906,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-015,integraal,Stichting Vu,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,161,634940940,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-016,integraal,gemeente Soest,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,144,417679309,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-017,integraal,gemeente Oisterwijk,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,139,288229258,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-018,integraal,gemeente Rucphen,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,117,238450529,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-019,integraal,gemeente Loon op Zand,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,125,235472839,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-020,integraal,gemeente Voorst,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,163,220522709,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-021,integraal,gemeente Oldebroek,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,149,218706132,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-022,integraal,gemeente Putten,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,155,212784364,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-023,integraal,gemeente Druten,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,157,202626052,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-024,integraal,Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,341,142340527,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-025,integraal,TNO,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,272,116473163,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-026,integraal,Natuurmonumenten,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,47,80935562,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-027,integraal,Stichting veiligheidNL,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,70,33564352,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-028,integraal,Koninklijk Instituut voor de Tropen,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,79,30704498,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-029,integraal,Veilig Verkeer Nederland,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,65,25244161,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-030,integraal,Hogeschool Inholland,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,39,16987711,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-031,integraal,Stichting Ontmoeting,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,22,15450446,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-032,integraal,mboRijnland,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,36,12361850,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-033,integraal,Stichting Waag Society,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,79,8061182,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-034,integraal,Stichting Zorgbalans,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,24,5979936,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-035,integraal,stichting WIJ 3.0,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,52,3698759,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-036,integraal,Regio Gooi en Vechtstreek,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,48,2653297,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-037,integraal,Hogeschool Windesheim,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,44,2517868,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-038,integraal,Stichting Radar,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,27,2385992,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-039,integraal,Npsp B.V.,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,31,1831747,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-040,integraal,De Regenboog Groep,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,18,1756930,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-041,integraal,TU Delft,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,15,1670006,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-042,integraal,Stichting Noordzeeboerderij,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,18,1578059,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-043,integraal,Stichting GGz Centraal,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,19,1336692,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-044,integraal,stichting ons Dorpshuis,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,22,922018,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-045,integraal,Captain AI B.V.,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,12,806749,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-046,integraal,Judo Bond Nederland,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,14,579395,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-047,integraal,Golazo Athletics B.V.,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,20,577000,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-048,integraal,Nationale Vereniging de Zonnebloem,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,20,498641,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-049,integraal,Stichting Possibilize,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,19,421267,Q-CROSS-02,2026-03-02T19:28:34Z
CROSS-MULTI-050,integraal,Stichting Techno Trend,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,multi_source,13,361649,Q-CROSS-02,2026-03-02T19:28:34Z
