fact_id,module,entity,sources,source_count,metric,record_count,value,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,years_with_data,query_ref,verified_at
CROSS-TOP-001,integraal,Sociale Verzekeringsbank,"Financiële instrumenten, Inkoopuitgaven",2,cross_module_total,301,114262650000,0,0,2906000,3708000,4078000,27714867000,24287208000,25651923000,36597960000,7,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-002,integraal,Zorginstituut Nederland,Financiële instrumenten,1,cross_module_total,71,71007222000,0,0,0,0,0,14567492000,24503000,32129157000,24286070000,4,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-003,integraal,politie,"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",4,cross_module_total,111,34256899505,23116000,14379000,34932000,6278836001,6457916001,6595465501,7311704002,7517839000,22712000,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-004,integraal,GEMEENTEN,Financiële instrumenten,1,cross_module_total,4,28042509000,28042509000,0,0,0,0,0,0,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-005,integraal,Belastingdienst/Toeslagen,Financiële instrumenten,1,cross_module_total,16,27039761000,0,0,0,0,0,0,7519270000,8874933000,10645558000,3,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-006,integraal,BNI-afdrachten,Financiële instrumenten,1,cross_module_total,4,19821110000,0,0,0,0,5168887000,5531713000,4897609000,4222901000,0,4,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-007,integraal,Uitvoeringsinstituut werknemersverzekeringen,"Financiële instrumenten, Inkoopuitgaven",2,cross_module_total,331,18047688000,0,0,0,5000,0,4946540000,375000,6007701000,7093067000,5,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-008,integraal,niet toegewezen,Financiële instrumenten,1,cross_module_total,40,17359640000,5547798000,5260100000,7000,0,6550047000,1529000,159000,0,0,6,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-009,integraal,Invoerrechten,Financiële instrumenten,1,cross_module_total,4,17353195000,0,0,0,0,3943638000,3891582000,4991221000,4526754000,0,4,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-010,integraal,Nationale Politie,"Financiële instrumenten, Provinciale subsidieregisters",2,cross_module_total,41,17271169038,5443224000,5975038000,5857237038,0,0,-252000,0,-202000,-3876000,6,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-011,integraal,Ministerie van Financien,"Financiële instrumenten, Publiek",2,cross_module_total,16,16964959001,0,0,1897000,3997025000,4295637001,4311919000,4298863000,0,59618000,6,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-012,integraal,TenneT Holding B.V.,Financiële instrumenten,1,cross_module_total,6,15946400000,4800000,4800000,0,4800000,0,0,1230000000,1602000000,13100000000,6,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-013,integraal,Prorail B.V.,"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters",3,cross_module_total,214,12688960554,1763083371,1912267000,4044535000,1958375000,9328363,150510333,135652000,2697704000,17505487,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-014,integraal,gemeente Rotterdam,"Financiële instrumenten, Provinciale subsidieregisters, Publiek",3,cross_module_total,253,12015277560,5860000,126000,160002,57000001,56480260,2733387003,2854252298,3197639529,3110372467,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-015,integraal,gemeente Amsterdam,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,cross_module_total,371,11263821454,68725108,64245475,1213390,65439387,115547660,3572165130,3805547710,-440878018,4011815612,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-016,integraal,Dienst Justitiële Inrichtingen,Financiële instrumenten,1,cross_module_total,67,10815359000,0,0,2058599000,0,0,2586844000,2856013000,3002837000,311066000,5,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-017,integraal,Ministerie van Financiën,"Financiële instrumenten, Inkoopuitgaven",2,cross_module_total,87,9448001000,15773000,4136638000,4165841000,212635000,210487000,165671000,261594000,217793000,61569000,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-018,integraal,Europese Unie,Financiële instrumenten,1,cross_module_total,3,9068216000,0,0,0,9068216000,0,0,0,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-019,integraal,Dienst Justitiële Inrichtingen (DJI),Financiële instrumenten,1,cross_module_total,47,8905984000,2218941000,2004551000,0,2283782000,2398710000,0,0,0,0,4,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-020,integraal,Memoriaal boeking: interne verantwoording,Financiële instrumenten,1,cross_module_total,81,8851650000,2434001000,6417649000,0,0,0,0,0,0,0,2,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-021,integraal,Overig,Financiële instrumenten,1,cross_module_total,19,8667301000,8667301000,0,0,0,0,0,0,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-022,integraal,Amsterdam,Financiële instrumenten,1,cross_module_total,24,8667007000,0,1992583000,2112540000,2160918000,2400966000,0,0,0,0,4,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-023,integraal,Commissariaat voor de media,"Financiële instrumenten, Inkoopuitgaven",2,cross_module_total,104,8584084000,5706000,972689000,963863000,996329000,1042441000,1043650000,1110521000,1201057000,1247828000,9,Q-CROSS-01,2026-03-02T19:28:34Z
