text,format,module,fact_ids,staffel,chars
"Stichting Arkin ontving €20.441.947 van de gemeente Amersfoort. Dat is 3,5% van alle uitkeringen. #Gemeentefonds #Gemeenten #Amersfoort",concentration,gemeente,GEM-DOM-057,no,135
GGD Amsterdam had 27 contracten bij ZonMW. In zeven jaar. #Overheidsuitgaven #Amsterdam #Transparantie,concentration,publiek,PUB-TOP-139,yes,102
Invest-NL Capital NV ontving €30.000.000 van de provincie Noord-Brabant. In één jaar. #Provincies #Overheidsuitgaven #NoordBrabant,scale_shock,provincie,PROV-TOP-084,no,130
Stichting Fontys ontving €2.866.918.000 via financiële instrumenten. In negen jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,scale_shock,instrumenten,INSTR-TOP-065,no,133
Stichting MEE Zuid-Holland Noord ontving €43.317.740 van de gemeente Den Haag. In acht jaar. #Gemeentefonds #Gemeenten #ZuidHolland #DenHaag,scale_shock,gemeente,GEM-TOP-062,no,140
Coöperatie Agrarisch Natuurbeheer ontving €24.662.706 van de provincie Utrecht. In één jaar. #Provincies #Overheidsuitgaven #Utrecht,scale_shock,provincie,PROV-TOP-103,no,132
Hoeveel ontving Provincie Overijssel van het Rijk? €1.542.089.000. In negen jaar. #Overheidsuitgaven #Rijksbegroting #Overijssel #OV,curiosity,instrumenten,INSTR-TOP-127,no,132
Arriva Personenvervoer Nederland B.V. ontving €128.614.520 van de provincie Zuid-Holland. In drie jaar. #Provincies #Overheidsuitgaven #ZuidHolland,scale_shock,provincie,PROV-TOP-010,no,147
Lobbes Speelgoed BV had 31 contracten bij COA. In zeven jaar. #Overheidsuitgaven #Transparantie #OpenData,concentration,publiek,PUB-SRC-049,yes,105
Hoeveel ontving Stichting Buurtteamorganisatie Sociaal Utrecht van Utrecht? €47.632.876. In twee jaar. #Gemeentefonds #Gemeenten #Utrecht,curiosity,gemeente,GEM-TOP-056,no,137
Stichting Lucas Onderwijs ontving geld van het Rijk via vijf verschillende bronnen. Totaal: €2.712.325.878. #Overheidsuitgaven #Rijksbegroting #Onderwijs,curiosity,integraal,CROSS-MULTI-007,no,153
Skils B.V. had 176 inkoopcontracten bij het Rijk. Categorie: studie en opleiding. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-055,yes,140
Hoeveel inkoopcontracten had Cloose bij het Rijk? 125. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,curiosity,inkoop,INKOOP-TOP-140,yes,113
Justitie en Veiligheid: €9.447.691.000. Financiën en Nationale Schuld: €6.423.960.000. Apparaatskosten. #Overheidsuitgaven #Rijksbegroting #Transparantie,comparison,apparaat,APP-MIN-005;APP-MIN-006,no,153
Hoeveel ontving Gemeente Ede van het Rijk? €1.274.175.000. In acht jaar. #Overheidsuitgaven #Rijksbegroting #Transparantie,curiosity,instrumenten,INSTR-TOP-149,no,122
Hoeveel inkoopcontracten had ISS Integrated Facility Services B.V. bij het Rijk? 137. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,curiosity,inkoop,INKOOP-TOP-106,yes,144
Hoeveel inkoopcontracten had Fox-IT bij het Rijk? 128. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,curiosity,inkoop,INKOOP-TOP-130,yes,113
Pinkcube B.V. had 147 inkoopcontracten bij het Rijk. Categorie: representatie voor eigen personeel. In acht jaar. #Overheidsinkoop #Rijksinkoop #Transparantie,concentration,inkoop,INKOOP-TOP-089,yes,158
