fact_ids,format,module,batch
GEM-TOP-166,curiosity,gemeente,batch-001
INSTR-TOP-144,scale_shock,instrumenten,batch-001
PROV-TOP-200,curiosity,provincie,batch-001
PROV-TOP-029,concentration,provincie,batch-001
CROSS-MULTI-021,curiosity,integraal,batch-001
INKOOP-TOP-090,curiosity,inkoop,batch-001
INSTR-TOP-050,scale_shock,instrumenten,batch-001
INKOOP-TOP-107,category_reveal,inkoop,batch-001
GEM-TOP-048,scale_shock,gemeente,batch-001
GEM-TOP-062,curiosity,gemeente,batch-001
PROV-TOP-071,scale_shock,provincie,batch-001
APP-KMIN-066,category_reveal,apparaat,batch-001
INKOOP-TOP-129,concentration,inkoop,batch-001
PROV-TOP-106,curiosity,provincie,batch-001
INSTR-TOP-080;INSTR-TOP-081,comparison,instrumenten,batch-001
PROV-TOP-159,concentration,provincie,batch-001
PROV-TOP-071,concentration,provincie,batch-001
INKOOP-TOP-137,concentration,inkoop,batch-001
INKOOP-TOP-059,curiosity,inkoop,batch-001
PROV-TOP-114,scale_shock,provincie,batch-001
INSTR-TOP-150,curiosity,instrumenten,batch-001
INSTR-TOP-107,scale_shock,instrumenten,batch-001
INSTR-TOP-131,curiosity,instrumenten,batch-001
APP-KMIN-151,category_reveal,apparaat,batch-001
PROV-TOP-091,concentration,provincie,batch-001
APP-MIN-006,scale_shock,apparaat,batch-001
INKOOP-TOP-014,curiosity,inkoop,batch-001
PUB-SRC-132,concentration,publiek,batch-001
INKOOP-TOP-080,category_reveal,inkoop,batch-001
APP-MIN-011,curiosity,apparaat,batch-001
GEM-TOP-130,curiosity,gemeente,batch-001
GEM-DOM-032,concentration,gemeente,batch-001
APP-MIN-003;APP-MIN-004,comparison,apparaat,batch-001
PUB-SRC-077,concentration,publiek,batch-001
INKOOP-TOP-125,curiosity,inkoop,batch-001
INKOOP-TOP-080,concentration,inkoop,batch-001
PROV-TOP-198,concentration,provincie,batch-001
GEM-TOP-038,scale_shock,gemeente,batch-001
GEM-TOP-097,curiosity,gemeente,batch-001
APP-KMIN-162,category_reveal,apparaat,batch-001
PUB-TOP-015,concentration,publiek,batch-001
GEM-TOP-182,curiosity,gemeente,batch-001
PROV-TOP-071,curiosity,provincie,batch-001
PROV-TOP-020,scale_shock,provincie,batch-001
